name	term	lev	seq	value
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000001525	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000001631	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000002053	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000003027	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000004420	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000004477	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000005054	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000005465	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000008089	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000008508	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000010319	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000011433	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000011919	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000013709	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000014592	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000015108	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000015327	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000018508	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000019724	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000021322	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000022724	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000022743	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000022843	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000022930	0
"transport vesicle membrane"	GO:0030658	2	ENSAPEG00000024804	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000002713	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000006635	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000006787	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000007473	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000008657	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000008776	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000009756	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000010186	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000010338	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000010919	1
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000010928	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000012070	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000012674	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000014839	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000015355	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000016024	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000016378	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000016463	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000016481	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000016737	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000016934	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000018482	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000018824	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000018930	0
"perinuclear region of cytoplasm"	GO:0048471	2	ENSAPEG00000019024	0
