name	term	lev	seq	value
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000000516	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000000644	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000000855	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000000856	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000001345	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000001809	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000002536	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000003109	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000003120	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000003320	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000003620	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000003761	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000004226	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000004288	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000005334	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000006350	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000007332	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000007588	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000008118	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000008291	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000008905	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000009236	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000009279	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000009598	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000009635	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000009776	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000011207	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000011266	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000011904	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000012325	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000012400	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000012547	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000012650	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000014110	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000014775	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000014843	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000015004	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000015656	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000016155	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000016512	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000016602	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000016664	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000016934	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000017164	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000017464	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000017744	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000017963	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000017981	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000018085	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000018577	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000019541	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000020118	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000020308	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000020482	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000020550	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000020740	1
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000021683	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000021730	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000022646	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000022706	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000022862	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000022944	0
"protein serine kinase activity"	GO:0106310	3	ENSAPEG00000024356	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000000315	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000000414	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000001334	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000001564	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000001609	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000002154	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000002683	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000002921	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000003168	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000004039	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000004168	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000005534	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000005762	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000005889	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000005963	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000005975	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000006020	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000006037	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000006160	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000006213	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000006306	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000008249	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000008496	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000008577	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000008652	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000008759	0
