"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 39 "GO:0000041" "transition metal ion transport" 1
0 1 3 6 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 1 5 21 "GO:0000075" "cell cycle checkpoint" 1
0 1 2 9 "GO:0000079;GO:0071900;GO:1904029" "regulation of protein serine/threonine kinase activity" 1
0 1 3 16 "GO:0000097;GO:0000096" "sulfur amino acid metabolic process" 1
0 0.48120472700881 2 30 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.0963852480133002 4 10 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of spindle localization" 0.969505776750134
0 0.482512076485886 2 12 "GO:0000154;GO:0031167" "rRNA modification" 1
0 0.900626450563524 2 42 "GO:0000165" "MAPK cascade" 1
0 0.647740087805942 8 19 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.684413327009478 2 21 "GO:0000209" "protein polyubiquitination" 1
0 0.551778250262519 2 73 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 8 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 0.319000627816892 2 7 "GO:0000266" "mitochondrial fission" 1
0 0.536354222362391 3 14 "GO:0000278" "mitotic cell cycle" 1
0 0.0255509696591288 3 5 "GO:0000280" "nuclear division" 0.49891630229141
0 0.280568498182666 3 6 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 1
0 1 4 8 "GO:0000348" "mRNA branch site recognition" 1
0 1 2 7 "GO:0000353" "formation of quadruple SL/U4/U5/U6 snRNP" 1
0 1 2 11 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.329906740159347 2 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.239971280133812 4 5 "GO:0000394" "RNA splicing, via endonucleolytic cleavage and ligation" 1
0 3.16691378401704e-05 4 65 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.00313313337032086
0 0.732400458199513 2 24 "GO:0000413;GO:0018208" "peptidyl-proline modification" 1
