"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.647238852593214 7 39 "GO:0000041" "transition metal ion transport" 1
0 1 3 6 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 1 2 21 "GO:0000075" "cell cycle checkpoint" 1
0 1 2 9 "GO:0000079;GO:0071900;GO:1904029" "regulation of protein serine/threonine kinase activity" 1
0 0.754433491728519 5 16 "GO:0000097;GO:0000096" "sulfur amino acid metabolic process" 1
0 0.466984534475991 2 30 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 2 10 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of mitotic spindle localization" 1
0 1 3 12 "GO:0000154;GO:0031167" "rRNA modification" 1
0 0.13666823524148 2 42 "GO:0000165" "MAPK cascade" 1
0 0.811320589073182 3 19 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.256453881823368 8 21 "GO:0000209" "protein polyubiquitination" 1
0 0.00719716920523212 3 73 "GO:0000226" "microtubule cytoskeleton organization" 0.178009985009408
0 1 2 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 1 2 7 "GO:0000266" "mitochondrial fission" 1
0 1 2 14 "GO:0000278" "mitotic cell cycle" 1
0 1 2 5 "GO:0000280" "nuclear division" 1
0 1 2 6 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 1
0 1 7 8 "GO:0000348" "mRNA branch site recognition" 1
0 1 2 7 "GO:0000353" "formation of quadruple SL/U4/U5/U6 snRNP" 1
0 0.0584639066148688 2 11 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.772619940889359
0 1 3 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 3 5 "GO:0000394" "RNA splicing, via endonucleolytic cleavage and ligation" 1
0 1 3 65 "GO:0000398;GO:0000377;GO:0000375" "mRNA splicing, via spliceosome" 1
0 1 7 24 "GO:0000413;GO:0018208" "peptidyl-proline modification" 1
0 1 3 5 "GO:0000469" "cleavage involved in rRNA processing" 1
0 1 2 6 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 1
0 1 2 5 "GO:0000578" "embryonic axis specification" 1
0 1 4 17 "GO:0000723;GO:0032200" "telomere organization" 1
0 1 2 13 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 0.421524590590521 2 28 "GO:0000902" "cell morphogenesis" 1
0 0.42405962645424 2 17 "GO:0000904" "cell morphogenesis involved in differentiation" 1
0 0.944890609232041 2 33 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 1
0 0.256453881823368 2 21 "GO:0001501" "skeletal system development" 1
0 0.827189875242206 2 20 "GO:0001503" "ossification" 1
0 0.0249903756715115 3 14 "GO:0001505" "regulation of neurotransmitter levels" 0.431229273215384
0 0.0593522057017432 2 5 "GO:0001508" "action potential" 0.772619940889359
0 0.988702447678029 2 51 "GO:0001510" "RNA methylation" 1
0 1 3 5 "GO:0001516;GO:0046457" "prostaglandin biosynthetic process" 1
0 1 2 17 "GO:0001522" "pseudouridine synthesis" 1
0 0.995556098543213 2 108 "GO:0001525" "angiogenesis" 1
0 1 2 11 "GO:0001556" "oocyte maturation" 1
0 0.233240191031276 2 20 "GO:0001558;GO:0061387" "regulation of cell growth" 1
0 0.817532952855214 3 36 "GO:0001568" "blood vessel development" 1
0 1 3 6 "GO:0001569;GO:0048754;GO:0061138;GO:0001763" "morphogenesis of a branching epithelium" 1
0 0.827189875242206 4 20 "GO:0001570" "vasculogenesis" 1
0 0.00916799244280752 2 59 "GO:0001654" "eye development" 0.219440335243974
0 1 4 17 "GO:0001666;GO:0036293;GO:0070482" "response to decreased oxygen levels" 1
0 0.834635132364945 4 97 "GO:0001667" "ameboidal-type cell migration" 1
0 1 2 8 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 1 3 7 "GO:0001678" "cellular glucose homeostasis" 1
0 1 4 8 "GO:0001682;GO:0099116;GO:0034471;GO:0000966" "RNA 5'-end processing" 1
0 0.458858406609234 2 7 "GO:0001706;GO:0001704" "formation of primary germ layer" 1
0 0.00408050026844395 2 32 "GO:0001708" "cell fate specification" 0.112138192562423
0 1 3 11 "GO:0001732;GO:0002183" "formation of cytoplasmic translation initiation complex" 1
0 1 3 5 "GO:0001736;GO:0007164" "establishment of planar polarity" 1
0 0.87856360283189 5 42 "GO:0001755" "neural crest cell migration" 1
0 0.939823450022337 2 32 "GO:0001756;GO:0035282" "segmentation" 1
0 1 4 14 "GO:0001764" "neuron migration" 1
0 1 2 33 "GO:0001775" "cell activation" 1
0 1 2 14 "GO:0001817" "regulation of cytokine production" 1
0 1 3 8 "GO:0001819" "positive regulation of cytokine production" 1
0 1 2 39 "GO:0001822" "kidney development" 1
0 1 5 8 "GO:0001837" "epithelial to mesenchymal transition" 1
0 1 5 5 "GO:0001839" "neural plate morphogenesis" 1
0 0.0337504356029623 2 9 "GO:0001841;GO:0001838" "neural tube formation" 0.52721733089259
0 1 4 11 "GO:0001878;GO:0009620" "response to fungus" 1
0 1 2 8 "GO:0001885" "endothelial cell development" 1
0 0.886685997663293 2 43 "GO:0001889" "liver development" 1
0 0.453546496671571 4 18 "GO:0001894" "tissue homeostasis" 1
0 1 2 5 "GO:0001895" "retina homeostasis" 1
0 0.355050738114797 4 5 "GO:0001933;GO:0042326" "negative regulation of protein phosphorylation" 1
0 1 3 13 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphate metabolic process" 1
0 0.504323567238391 4 8 "GO:0001935" "endothelial cell proliferation" 1
0 0.242468795084942 4 40 "GO:0001944" "vasculature development" 1
0 0.619075407041497 3 11 "GO:0001945" "lymph vessel development" 1
0 0.482147755778691 2 19 "GO:0001946" "lymphangiogenesis" 1
0 0.786512478823423 2 63 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 1
0 0.0841651465792786 4 6 "GO:0001964;GO:0050905" "neuromuscular process" 0.960777519412688
0 0.584125473607494 2 10 "GO:0001966" "thigmotaxis" 1
0 0.355050738114797 6 5 "GO:0001973;GO:0035588" "G protein-coupled adenosine receptor signaling pathway" 1
0 0.96621650327187 2 207 "GO:0002009;GO:0048729" "tissue morphogenesis" 1
0 0.87856360283189 2 42 "GO:0002011" "morphogenesis of an epithelial sheet" 1
0 0.87856360283189 2 42 "GO:0002040" "sprouting angiogenesis" 1
0 0.592229268573789 4 36 "GO:0002064" "epithelial cell development" 1
0 0.545972590488898 2 9 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 1
0 0.00190152534860044 2 17 "GO:0002088" "lens development in camera-type eye" 0.061679616397875
0 0.0841651465792786 2 6 "GO:0002089" "lens morphogenesis in camera-type eye" 0.960777519412688
0 1 4 13 "GO:0002098;GO:0002097" "tRNA wobble base modification" 1
0 1 5 14 "GO:0002224;GO:0002221" "pattern recognition receptor signaling pathway" 1
0 0.730392620330888 3 30 "GO:0002244" "hematopoietic progenitor cell differentiation" 1
0 1 3 10 "GO:0002250" "adaptive immune response" 1
0 0.928250326507503 2 30 "GO:0002252" "immune effector process" 1
0 1 3 6 "GO:0002274" "myeloid leukocyte activation" 1
0 0.999999811901485 1 209 "GO:0002376" "immune system process" 1
0 1 2 5 "GO:0002429;GO:0002757" "immune response-activating cell surface receptor signaling pathway" 1
0 0.76278246597718 3 32 "GO:0002521" "leukocyte differentiation" 1
0 0.509804151861737 2 20 "GO:0002573" "myeloid leukocyte differentiation" 1
0 1 4 7 "GO:0002574" "thrombocyte differentiation" 1
0 0.928415688229659 3 67 "GO:0002682" "regulation of immune system process" 1
0 1 2 10 "GO:0002683" "negative regulation of immune system process" 1
0 0.562123896434978 2 22 "GO:0002684;GO:0002253;GO:0050778" "positive regulation of immune system process" 1
0 1 3 5 "GO:0002688" "regulation of leukocyte chemotaxis" 1
0 1 2 10 "GO:0002694;GO:0050865" "regulation of cell activation" 1
0 1 2 5 "GO:0002695;GO:0050866" "negative regulation of leukocyte activation" 1
0 1 2 7 "GO:0002697" "regulation of immune effector process" 1
0 1 2 5 "GO:0002761" "regulation of myeloid leukocyte differentiation" 1
0 0.619075407041497 4 11 "GO:0002768;GO:0002764" "immune response-regulating signaling pathway" 1
0 0.403889619120164 3 95 "GO:0003002" "regionalization" 1
0 0.979069894186731 2 44 "GO:0003006" "developmental process involved in reproduction" 1
0 0.210435794261045 2 19 "GO:0003007" "heart morphogenesis" 1
0 8.60873371095569e-09 2 202 "GO:0003008" "system process" 1.06461340225485e-06
0 0.512584970363783 3 80 "GO:0003013" "circulatory system process" 1
0 1 3 9 "GO:0003094" "glomerular filtration" 1
0 0.14060228220514 6 8 "GO:0003140" "determination of left/right asymmetry in lateral mesoderm" 1
0 1 2 15 "GO:0003146" "heart jogging" 1
0 0.584125473607494 3 10 "GO:0003170" "heart valve development" 1
0 0.458858406609234 2 7 "GO:0003171" "atrioventricular valve development" 1
0 1 4 8 "GO:0003181;GO:0003179" "heart valve morphogenesis" 1
0 1 3 8 "GO:0003205" "cardiac chamber development" 1
0 0.409227856421901 4 6 "GO:0003309;GO:0035883;GO:0002067" "enteroendocrine cell differentiation" 1
0 0.458858406609234 2 7 "GO:0003318;GO:0060973" "cell migration involved in heart development" 1
0 0.584125473607494 3 10 "GO:0003323;GO:0002068;GO:0002066" "columnar/cuboidal epithelial cell development" 1
0 0.00623533720824162 3 21 "GO:0003333" "amino acid transmembrane transport" 0.156834583339501
0 0.747032543604835 3 31 "GO:0003341" "cilium movement" 1
0 0.545972590488898 4 9 "GO:0003351;GO:0006858" "epithelial cilium movement involved in extracellular fluid movement" 1
0 1 2 6 "GO:0003376;GO:0090520" "sphingolipid mediated signaling pathway" 1
0 0.458858406609234 3 7 "GO:0003401" "axis elongation" 1
0 0.584125473607494 2 10 "GO:0003406" "retinal pigment epithelium development" 1
0 0.651091017905782 2 12 "GO:0003407" "neural retina development" 1
0 0.718853713658238 2 264 "GO:0005975" "carbohydrate metabolic process" 1
0 0.61031567955391 5 24 "GO:0005977;GO:0006073;GO:0006112;GO:0044042;GO:0044264;GO:0005976" "glucan metabolic process" 1
0 1 5 8 "GO:0005978;GO:0009250;GO:0033692;GO:0000271" "glucan biosynthetic process" 1
0 0.775859788284713 2 62 "GO:0005996;GO:0019318" "monosaccharide metabolic process" 1
0 0.545972590488898 2 9 "GO:0006000;GO:0006003" "fructose metabolic process" 1
0 0.0593522057017432 3 5 "GO:0006002;GO:0061615" "fructose 6-phosphate metabolic process" 0.772619940889359
0 0.674836638075285 4 27 "GO:0006006" "glucose metabolic process" 1
0 1 2 5 "GO:0006012" "galactose metabolic process" 1
0 1 4 5 "GO:0006013" "mannose metabolic process" 1
0 1 5 6 "GO:0006021;GO:0006020" "inositol metabolic process" 1
0 0.584125473607494 3 10 "GO:0006024;GO:0006023" "aminoglycan biosynthetic process" 1
0 0.234626139267462 2 11 "GO:0006026" "aminoglycan catabolic process" 1
0 0.0841651465792786 3 6 "GO:0006032;GO:0006030;GO:1901072" "chitin metabolic process" 0.960777519412688
0 0.362762813150311 2 15 "GO:0006040" "amino sugar metabolic process" 1
0 1 2 6 "GO:0006047;GO:0046349" "UDP-N-acetylglucosamine metabolic process" 1
0 0.981648250227538 3 68 "GO:0006066" "alcohol metabolic process" 1
0 1 3 6 "GO:0006072;GO:0052646" "glycerol-3-phosphate metabolic process" 1
0 0.393765160733805 2 16 "GO:0006081" "cellular aldehyde metabolic process" 1
0 1 2 17 "GO:0006084" "acetyl-CoA metabolic process" 1
0 1 5 10 "GO:0006085" "acetyl-CoA biosynthetic process" 1
0 1 5 5 "GO:0006086" "acetyl-CoA biosynthetic process from pyruvate" 1
0 0.424731690002477 2 143 "GO:0006091" "generation of precursor metabolites and energy" 1
0 0.33117730891183 4 14 "GO:0006094;GO:0019319;GO:0046364" "gluconeogenesis" 1
0 0.497409894033295 4 67 "GO:0006096;GO:0006090;GO:0006757;GO:0016052;GO:0006165;GO:0046031;GO:0009132;GO:0046939;GO:0009179;GO:0009135;GO:0009185" "nucleoside diphosphate metabolic process" 1
0 0.504323567238391 3 8 "GO:0006098;GO:0006740" "NADPH regeneration" 1
0 0.934290919270926 3 31 "GO:0006099" "tricarboxylic acid cycle" 1
0 0.458858406609234 5 7 "GO:0006109" "regulation of carbohydrate metabolic process" 1
0 1 2 12 "GO:0006119" "oxidative phosphorylation" 1
0 1 5 7 "GO:0006120" "mitochondrial electron transport, NADH to ubiquinone" 1
0 1 2 7 "GO:0006122" "mitochondrial electron transport, ubiquinol to cytochrome c" 1
0 1 6 21 "GO:0006123;GO:0019646;GO:0009060" "aerobic respiration" 1
0 1 2 9 "GO:0006144" "purine nucleobase metabolic process" 1
0 0.545972590488898 3 9 "GO:0006166;GO:0043174" "nucleoside salvage" 1
0 1 2 7 "GO:0006167;GO:0046033" "AMP metabolic process" 1
0 1 2 11 "GO:0006171" "cAMP biosynthetic process" 1
0 0.0318688860148358 7 15 "GO:0006182;GO:0046068" "cGMP biosynthetic process" 0.514058987456699
0 1 3 8 "GO:0006183;GO:0046039;GO:0006228;GO:0046051" "GTP metabolic process" 1
0 0.362762813150311 4 15 "GO:0006188;GO:0046040" "IMP biosynthetic process" 1
0 1 2 6 "GO:0006189" "'de novo' IMP biosynthetic process" 1
0 0.299162122251902 5 13 "GO:0006198;GO:0009154;GO:0009214;GO:0006195;GO:0009261;GO:0072523" "purine-containing compound catabolic process" 1
0 1 3 6 "GO:0006207;GO:0019856;GO:0006206" "pyrimidine nucleobase metabolic process" 1
0 0.651091017905782 2 12 "GO:0006222;GO:0009174;GO:0046049;GO:0009130;GO:0009173;GO:0009129" "pyrimidine nucleoside monophosphate biosynthetic process" 1
0 0.999999995442206 2 283 "GO:0006259" "DNA metabolic process" 1
0 1 2 69 "GO:0006260" "DNA replication" 1
0 1 6 5 "GO:0006261" "DNA-dependent DNA replication" 1
0 0.458858406609234 3 7 "GO:0006265" "DNA topological change" 1
0 1 2 10 "GO:0006270" "DNA replication initiation" 1
0 1 2 6 "GO:0006275" "regulation of DNA replication" 1
0 1 2 8 "GO:0006282" "regulation of DNA repair" 1
0 1 2 10 "GO:0006284" "base-excision repair" 1
0 1 2 17 "GO:0006289" "nucleotide-excision repair" 1
0 1 2 9 "GO:0006298" "mismatch repair" 1
0 1 2 31 "GO:0006302" "double-strand break repair" 1
0 1 2 8 "GO:0006303;GO:0000726" "non-recombinational repair" 1
0 1 3 7 "GO:0006306;GO:0006305;GO:0090116;GO:0032776" "DNA alkylation" 1
0 1 4 9 "GO:0006308" "DNA catabolic process" 1
0 0.993904325256057 2 58 "GO:0006310" "DNA recombination" 1
0 0.73189172104135 3 15 "GO:0006313;GO:0032196" "transposition, DNA-mediated" 1
0 0.992336052979724 3 239 "GO:0006325" "chromatin organization" 1
0 1 2 6 "GO:0006333" "chromatin assembly or disassembly" 1
0 0.841725738937343 2 21 "GO:0006334;GO:0034728" "nucleosome assembly" 1
0 0.924465701889888 5 129 "GO:0006338" "chromatin remodeling" 1
0 1 5 40 "GO:0006352" "DNA-templated transcription, initiation" 1
0 0.992816431376164 2 1192 "GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0019219" "regulation of biosynthetic process" 1
0 0.477477421158708 3 468 "GO:0006357" "regulation of transcription by RNA polymerase II" 1
0 1 4 6 "GO:0006360" "transcription by RNA polymerase I" 1
0 1 2 75 "GO:0006364;GO:0016072" "rRNA metabolic process" 1
0 1 7 23 "GO:0006366" "transcription by RNA polymerase II" 1
0 1 6 14 "GO:0006367" "transcription initiation from RNA polymerase II promoter" 1
0 1 3 16 "GO:0006368;GO:0006354" "DNA-templated transcription, elongation" 1
0 1 3 7 "GO:0006376" "mRNA splice site selection" 1
0 1 2 7 "GO:0006379" "mRNA cleavage" 1
0 1 2 8 "GO:0006383" "transcription by RNA polymerase III" 1
0 1 2 5 "GO:0006384" "transcription initiation from RNA polymerase III promoter" 1
0 0.999999782479686 3 474 "GO:0006396" "RNA processing" 1
0 0.915663870548014 2 213 "GO:0006397;GO:0016071" "mRNA metabolic process" 1
0 1 2 132 "GO:0006399" "tRNA metabolic process" 1
0 1 3 45 "GO:0006400" "tRNA modification" 1
0 0.98528461180736 2 48 "GO:0006402;GO:0006401" "RNA catabolic process" 1
0 1 3 14 "GO:0006406;GO:0006405" "RNA export from nucleus" 1
