"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.935942463904916 3 39 "GO:0000041" "transition metal ion transport" 1
0 1 6 6 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 1 3 21 "GO:0000075" "cell cycle checkpoint" 1
0 1 2 9 "GO:0000079;GO:0071900;GO:1904029" "regulation of protein serine/threonine kinase activity" 1
0 0.675728682565395 3 16 "GO:0000097;GO:0000096" "sulfur amino acid metabolic process" 1
0 0.143064451366509 4 30 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.697928587867733
0 0.505230877982031 3 10 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of mitotic spindle localization" 1
0 1 7 12 "GO:0000154;GO:0031167" "rRNA modification" 1
0 0.55041412379934 2 42 "GO:0000165" "MAPK cascade" 1
0 0.737503615224426 2 19 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.167601409439094 3 21 "GO:0000209" "protein polyubiquitination" 0.7598874737069
0 0.739764524247464 2 73 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.538865820526209 2 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 0.388901160932712 2 7 "GO:0000266" "mitochondrial fission" 1
0 1 3 14 "GO:0000278" "mitotic cell cycle" 1
0 1 3 5 "GO:0000280" "nuclear division" 1
0 1 2 6 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 1
0 1 3 8 "GO:0000348" "mRNA branch site recognition" 1
0 0.388901160932712 4 7 "GO:0000353" "formation of quadruple SL/U4/U5/U6 snRNP" 1
0 0.538865820526209 2 11 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.787522649424107 5 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 3 5 "GO:0000394" "RNA splicing, via endonucleolytic cleavage and ligation" 1
0 1 4 65 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 1
0 0.815459641400359 7 24 "GO:0000413;GO:0018208" "peptidyl-proline modification" 1
0 0.296544574098484 2 5 "GO:0000469" "cleavage involved in rRNA processing" 0.958508992479947
0 1 5 6 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 1
0 1 2 5 "GO:0000578" "embryonic axis specification" 1
0 0.697784805379389 5 17 "GO:0000723;GO:0032200" "telomere organization" 1
0 1 3 13 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 0.0380587192550346 3 28 "GO:0000902" "cell morphogenesis" 0.340413030508883
