"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.00516267023189497 2 39 "GO:0000041" "transition metal ion transport" 0.0969797800523055
0 1 6 6 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 1 3 21 "GO:0000075" "cell cycle checkpoint" 1
0 1 2 9 "GO:0000079;GO:0071900;GO:1904029" "regulation of protein serine/threonine kinase activity" 1
0 0.141946786527023 2 16 "GO:0000097;GO:0000096" "sulfur amino acid metabolic process" 1
0 1 2 30 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.347063021997651 3 10 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of mitotic spindle localization" 1
0 1 2 12 "GO:0000154;GO:0031167" "rRNA modification" 1
0 0.83353480688701 4 42 "GO:0000165" "MAPK cascade" 1
0 1 2 19 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 1 2 21 "GO:0000209" "protein polyubiquitination" 1
0 0.955876895536768 4 73 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 2 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 1 2 7 "GO:0000266" "mitochondrial fission" 1
0 1 3 14 "GO:0000278" "mitotic cell cycle" 1
0 0.191915617313958 3 5 "GO:0000280" "nuclear division" 1
0 1 7 6 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 1
0 1 4 8 "GO:0000348" "mRNA branch site recognition" 1
0 1 4 7 "GO:0000353" "formation of quadruple SL/U4/U5/U6 snRNP" 1
0 1 2 11 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 4 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 2 5 "GO:0000394" "RNA splicing, via endonucleolytic cleavage and ligation" 1
0 1 3 65 "GO:0000398;GO:0000377;GO:0000375" "mRNA splicing, via spliceosome" 1
0 1 3 24 "GO:0000413;GO:0018208" "peptidyl-proline modification" 1
