"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 6 "GO:0000015" "phosphopyruvate hydratase complex" 1
0 1 3 10 "GO:0000118" "histone deacetylase complex" 1
0 0.127255861237643 4 32 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.704620416852875
0 0.120443589015778 3 10 "GO:0000124" "SAGA complex" 0.704620416852875
0 0.532446555679754 2 212 "GO:0000139" "Golgi membrane" 1
0 0.558648007603811 3 13 "GO:0000145" "exocyst" 1
0 1 3 44 "GO:0000151" "ubiquitin ligase complex" 1
0 0.23128109203798 3 15 "GO:0000159;GO:0008287;GO:1903293" "phosphatase complex" 0.948793897359162
0 1 2 5 "GO:0000172" "ribonuclease MRP complex" 1
0 0.100252899571101 3 9 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.662735105622637
0 1 3 5 "GO:0000220" "vacuolar proton-transporting V-type ATPase, V0 domain" 1
0 1 2 10 "GO:0000276" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 0.0133217447283261 2 33 "GO:0000428;GO:0030880" "DNA-directed RNA polymerase complex" 0.1896762701795
0 0.269724017643909 3 5 "GO:0000439" "transcription factor TFIIH core complex" 0.948793897359162
0 0.00421932006777938 2 53 "GO:0000502;GO:1905369" "endopeptidase complex" 0.0742103941332962
0 0.63841089803705 3 35 "GO:0000775" "chromosome, centromeric region" 1
0 0.192579130845591 2 25 "GO:0000776" "kinetochore" 0.943953444636585
0 0.610905192977915 2 15 "GO:0000781" "chromosome, telomeric region" 1
0 0.269724017643909 3 5 "GO:0000783;GO:0000782" "telomere cap complex" 0.948793897359162
0 0.589089922392682 2 32 "GO:0000785" "chromatin" 1
0 0.0606664518733466 3 58 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 0.498472792439961
0 0.314246211353502 3 6 "GO:0000792" "heterochromatin" 0.978746012444761
0 0.208312151888403 2 14 "GO:0000813;GO:0036452" "ESCRT complex" 0.948793897359162
0 0.185605861505704 2 13 "GO:0000922" "spindle pole" 0.924935876503425
0 0.58559691958192 5 14 "GO:0000932" "P-body" 1
0 1 6 12 "GO:0001518;GO:0034706" "sodium channel complex" 1
0 1 4 16 "GO:0001726" "ruffle" 1
0 0.999999843379315 2 696 "GO:0005576" "extracellular region" 1
0 1 3 8 "GO:0005579" "membrane attack complex" 1
0 1 2 21 "GO:0005581" "collagen trimer" 1
0 1 2 21 "GO:0005604" "basement membrane" 1
0 0.972382713523875 2 249 "GO:0005615" "extracellular space" 1
0 0.24136148869918 3 28 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.948793897359162
0 0.432220954415436 2 9 "GO:0005637" "nuclear inner membrane" 1
0 0.0413434458043345 3 22 "GO:0005643" "nuclear pore" 0.386302821734251
0 0.265000329219894 2 43 "GO:0005654" "nucleoplasm" 0.948793897359162
0 0.0633510572331723 2 7 "GO:0005666" "RNA polymerase III complex" 0.498472792439961
0 0.0224026832093731 2 80 "GO:0005667" "transcription regulator complex" 0.257630856907791
0 0.163292314682677 4 12 "GO:0005669" "transcription factor TFIID complex" 0.841800036036559
0 1 6 5 "GO:0005675;GO:0032806" "transcription factor TFIIH holo complex" 1
0 1 2 16 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.000286946656640627 2 45 "GO:0005681" "spliceosomal complex" 0.0122567214765068
