"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.406056409239896 2 6 "GO:0000015" "phosphopyruvate hydratase complex" 1
0 1 2 10 "GO:0000118" "histone deacetylase complex" 1
0 1 3 32 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 1 5 10 "GO:0000124" "SAGA complex" 1
0 0.39991668025226 2 212 "GO:0000139" "Golgi membrane" 1
0 1 3 13 "GO:0000145" "exocyst" 1
0 1 3 44 "GO:0000151" "ubiquitin ligase complex" 1
0 1 2 15 "GO:0000159;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 1
0 1 2 5 "GO:0000172" "ribonuclease MRP complex" 1
0 0.542368609517064 2 9 "GO:0000178;GO:1905354" "exoribonuclease complex" 1
0 1 2 5 "GO:0000220" "vacuolar proton-transporting V-type ATPase, V0 domain" 1
0 0.580475290919519 4 10 "GO:0000276" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 1 3 33 "GO:0000428;GO:0030880" "RNA polymerase complex" 1
0 1 4 5 "GO:0000439" "transcription factor TFIIH core complex" 1
0 0.942497086612728 2 53 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 1 3 35 "GO:0000775" "chromosome, centromeric region" 1
0 1 2 25 "GO:0000776" "kinetochore" 1
0 0.728448239865543 2 15 "GO:0000781" "chromosome, telomeric region" 1
0 0.352151867543977 3 5 "GO:0000783;GO:0000782" "nuclear telomere cap complex" 1
0 0.938318472885496 2 32 "GO:0000785" "chromatin" 1
0 0.872113768304568 2 58 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 1
0 1 2 6 "GO:0000792" "heterochromatin" 1
0 1 3 14 "GO:0000813;GO:0036452" "ESCRT complex" 1
0 1 2 13 "GO:0000922" "spindle pole" 1
0 1 2 14 "GO:0000932" "P-body" 1
0 0.263015146970212 6 12 "GO:0001518;GO:0034706" "sodium channel complex" 1
0 0.142435471798804 2 16 "GO:0001726" "ruffle" 1
0 8.15084776127301e-14 2 696 "GO:0005576" "extracellular region" 2.43710348062063e-11
0 1 2 8 "GO:0005579" "membrane attack complex" 1
0 1.89831097825081e-07 2 21 "GO:0005581" "collagen trimer" 1.41898745624248e-05
0 2.17285336328957e-06 2 21 "GO:0005604" "basement membrane" 0.000108280525937264
0 0.00442130963080435 2 249 "GO:0005615" "extracellular space" 0.0881314386407
0 0.689258406886788 3 28 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 1 2 9 "GO:0005637" "nuclear inner membrane" 1
0 1 3 22 "GO:0005643" "nuclear pore" 1
0 0.883700118993067 2 43 "GO:0005654" "nucleoplasm" 1
0 1 2 7 "GO:0005666" "RNA polymerase III complex" 1
0 0.50205652144529 2 80 "GO:0005667" "transcription regulator complex" 1
0 0.647451957324693 4 12 "GO:0005669" "transcription factor TFIID complex" 1
0 0.352151867543977 2 5 "GO:0005675;GO:0032806" "transcription factor TFIIH holo complex" 1
0 1 4 16 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 2 45 "GO:0005681" "spliceosomal complex" 1
0 0.500809282572181 5 8 "GO:0005682" "U5 snRNP" 1
0 1 5 5 "GO:0005685" "U1 snRNP" 1
0 1 5 9 "GO:0005686" "U2 snRNP" 1
0 1 2 5 "GO:0005688" "U6 snRNP" 1
0 0.999448927910487 2 137 "GO:0005694" "chromosome" 1
0 0.994507618915159 2 197 "GO:0005730" "nucleolus" 1
0 1 3 9 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 1
0 0.999702189797981 2 368 "GO:0005739" "mitochondrion" 1
0 0.455485271826643 3 7 "GO:0005740" "mitochondrial envelope" 1
0 0.950222942677594 2 55 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 1
0 1 2 5 "GO:0005742" "mitochondrial outer membrane translocase complex" 1
0 0.973290628237566 2 167 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 1 2 6 "GO:0005746" "mitochondrial respirasome" 1
0 1 3 12 "GO:0005747;GO:0045271;GO:0030964" "respiratory chain complex I" 1
0 1 3 7 "GO:0005750;GO:0045275" "respiratory chain complex III" 1
0 0.556724192082461 2 22 "GO:0005751;GO:0045277" "respiratory chain complex IV" 1
0 1 4 20 "GO:0005758;GO:0031970" "organelle envelope lumen" 1
0 1 2 34 "GO:0005759" "mitochondrial matrix" 1
0 1 2 5 "GO:0005761;GO:0000313" "mitochondrial ribosome" 1
0 0.874669736551887 6 74 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 1
0 1 4 60 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 1
0 0.976382426928541 7 137 "GO:0005768" "endosome" 1
0 0.707875923609191 2 29 "GO:0005769" "early endosome" 1
0 1 2 14 "GO:0005770" "late endosome" 1
0 0.500809282572181 2 8 "GO:0005776" "autophagosome" 1
0 1 6 41 "GO:0005777;GO:0042579" "microbody" 1
0 1 4 17 "GO:0005778;GO:0031903" "microbody membrane" 1
0 0.0852601804125129 5 366 "GO:0005783" "endoplasmic reticulum" 0.931755350464057
0 1 4 6 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" 1
0 0.0248680836038248 2 28 "GO:0005788" "endoplasmic reticulum lumen" 0.309814874897651
0 0.238457004761717 2 315 "GO:0005789" "endoplasmic reticulum membrane" 1
0 1 6 5 "GO:0005791" "rough endoplasmic reticulum" 1
