"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 6 "GO:0000015" "phosphopyruvate hydratase complex" 1
0 1 2 10 "GO:0000118" "histone deacetylase complex" 1
0 1 3 32 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 1
0 1 2 10 "GO:0000124" "SAGA complex" 1
0 0.906631563019301 3 212 "GO:0000139" "Golgi membrane" 1
0 1 3 13 "GO:0000145" "exocyst" 1
0 0.859726418633191 2 44 "GO:0000151" "ubiquitin ligase complex" 1
0 0.487109195757816 3 15 "GO:0000159;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 1
0 1 2 5 "GO:0000172" "ribonuclease MRP complex" 1
0 1 3 9 "GO:0000178;GO:1905354" "exoribonuclease complex" 1
0 1 5 5 "GO:0000220" "vacuolar proton-transporting V-type ATPase, V0 domain" 1
0 0.359117974707561 2 10 "GO:0000276" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 1 4 33 "GO:0000428;GO:0030880" "DNA-directed RNA polymerase complex" 1
0 1 4 5 "GO:0000439" "transcription factor TFIIH core complex" 1
0 1 2 53 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 1 2 35 "GO:0000775" "chromosome, centromeric region" 1
0 1 2 25 "GO:0000776" "kinetochore" 1
0 0.487109195757816 2 15 "GO:0000781" "chromosome, telomeric region" 1
0 1 3 5 "GO:0000783;GO:0000782" "telomere cap complex" 1
0 1 2 32 "GO:0000785" "chromatin" 1
0 0.92518242011272 2 58 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 1
0 1 3 6 "GO:0000792" "heterochromatin" 1
0 0.121577322906363 2 14 "GO:0000813;GO:0036452" "ESCRT complex" 1
0 1 2 13 "GO:0000922" "spindle pole" 1
0 1 5 14 "GO:0000932" "P-body" 1
0 0.0133324435131595 6 12 "GO:0001518;GO:0034706" "sodium channel complex" 0.306646200802669
0 0.509473047575522 4 16 "GO:0001726" "ruffle" 1
0 3.98039867338499e-10 2 696 "GO:0005576" "extracellular region" 3.96713067780704e-08
0 0.000212239266026573 2 8 "GO:0005579" "membrane attack complex" 0.00906564864884933
0 0.607539821987973 2 21 "GO:0005581" "collagen trimer" 1
0 1 4 21 "GO:0005604" "basement membrane" 1
0 1.09128211557306e-15 2 249 "GO:0005615" "extracellular space" 3.26293352556345e-13
0 0.345531684375294 3 28 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 0.329934379975087 2 9 "GO:0005637" "nuclear inner membrane" 1
0 1 3 22 "GO:0005643" "nuclear pore" 1
0 1 2 43 "GO:0005654" "nucleoplasm" 1
0 1 3 7 "GO:0005666" "RNA polymerase III complex" 1
0 1 2 80 "GO:0005667" "transcription regulator complex" 1
0 1 3 12 "GO:0005669" "transcription factor TFIID complex" 1
0 1 6 5 "GO:0005675;GO:0032806" "transcription factor TFIIH holo complex" 1
0 1 4 16 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 2 45 "GO:0005681" "spliceosomal complex" 1
0 1 2 8 "GO:0005682" "U5 snRNP" 1
0 1 2 5 "GO:0005685" "U1 snRNP" 1
0 1 2 9 "GO:0005686" "U2 snRNP" 1
0 1 2 5 "GO:0005688" "U6 snRNP" 1
0 1 2 137 "GO:0005694" "chromosome" 1
0 1 3 197 "GO:0005730" "nucleolus" 1
0 1 3 9 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 1
0 2.78180880453024e-10 2 368 "GO:0005739" "mitochondrion" 3.96713067780704e-08
0 0.26753910224876 3 7 "GO:0005740" "mitochondrial envelope" 1
0 0.00915951283172851 2 55 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 0.248972212426075
0 0.199361644433853 3 5 "GO:0005742" "mitochondrial outer membrane translocase complex" 1
0 8.82691557998195e-06 3 167 "GO:0005743;GO:0019866" "organelle inner membrane" 0.000527849551682921
0 0.0251429838572469 3 6 "GO:0005746" "mitochondrial respirasome" 0.469859510832301
0 0.413742764805124 2 12 "GO:0005747;GO:0045271;GO:0030964" "respiratory chain complex I" 1
0 0.26753910224876 3 7 "GO:0005750;GO:0045275" "respiratory chain complex III" 1
0 0.067941672857429 2 22 "GO:0005751;GO:0045277" "respiratory chain complex IV" 0.846440007682136
0 0.589628993598602 3 20 "GO:0005758;GO:0031970" "organelle envelope lumen" 1
0 0.0581574791575815 3 34 "GO:0005759" "mitochondrial matrix" 0.756047229048559
0 1 4 5 "GO:0005761;GO:0000313" "organellar ribosome" 1
0 0.9635995368593 3 74 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 1
0 0.742889602087986 4 60 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 1
