"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 6 "GO:0000015" "phosphopyruvate hydratase complex" 1
0 1 2 10 "GO:0000118" "histone deacetylase complex" 1
0 0.0173992633052562 2 32 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.286275523165467
0 0.0808574192022367 2 10 "GO:0000124" "SAGA complex" 0.671565787263021
0 0.143132732559323 5 212 "GO:0000139" "Golgi membrane" 0.938237990409109
0 0.127614262321576 2 13 "GO:0000145" "exocyst" 0.887364289166307
0 0.017992516510957 3 44 "GO:0000151" "ubiquitin ligase complex" 0.286275523165467
0 1 3 15 "GO:0000159;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 1
0 0.0210637508683621 2 5 "GO:0000172" "ribonuclease MRP complex" 0.286275523165467
0 1 3 9 "GO:0000178;GO:1905354" "exoribonuclease complex" 1
0 1 2 5 "GO:0000220" "vacuolar proton-transporting V-type ATPase, V0 domain" 1
0 1 2 10 "GO:0000276" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 0.211705940483312 4 33 "GO:0000428;GO:0030880" "DNA-directed RNA polymerase complex" 0.986227016278641
0 1 4 5 "GO:0000439" "transcription factor TFIIH core complex" 1
0 0.475179753031885 2 53 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 0.0860587136372735 3 35 "GO:0000775" "chromosome, centromeric region" 0.695447442636345
0 0.341726888272806 3 25 "GO:0000776" "kinetochore" 1
0 0.161496240539513 2 15 "GO:0000781" "chromosome, telomeric region" 0.968858848009204
0 1 2 5 "GO:0000783;GO:0000782" "nuclear telomere cap complex" 1
0 0.00374000867982927 2 32 "GO:0000785" "chromatin" 0.0860201996360732
0 1 3 58 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 1
0 0.256932105122234 2 6 "GO:0000792" "heterochromatin" 0.997697395214909
0 0.500161525413766 3 14 "GO:0000813;GO:0036452" "ESCRT complex" 1
0 0.474746009756839 2 13 "GO:0000922" "spindle pole" 1
0 1 2 14 "GO:0000932" "P-body" 1
0 1 3 12 "GO:0001518;GO:0034706" "voltage-gated sodium channel complex" 1
0 0.178990818191008 4 16 "GO:0001726" "ruffle" 0.973059175256571
0 0.999998826705775 2 696 "GO:0005576" "extracellular region" 1
0 1 2 8 "GO:0005579" "membrane attack complex" 1
0 1 2 21 "GO:0005581" "collagen trimer" 1
0 1 2 21 "GO:0005604" "basement membrane" 1
0 0.999996721617017 2 249 "GO:0005615" "extracellular space" 1
0 1 4 28 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 1 2 9 "GO:0005637" "nuclear inner membrane" 1
0 0.0194961617909187 2 22 "GO:0005643" "nuclear pore" 0.286275523165467
0 0.0161720674141202 2 43 "GO:0005654" "nucleoplasm" 0.286275523165467
0 1 2 7 "GO:0005666" "RNA polymerase III complex" 1
0 0.544589473168706 2 80 "GO:0005667" "transcription regulator complex" 1
0 1 3 12 "GO:0005669" "transcription factor TFIID complex" 1
0 1 6 5 "GO:0005675;GO:0032806" "transcription factor TFIIH holo complex" 1
0 0.547375975219035 2 16 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.0199487624203596 2 45 "GO:0005681" "spliceosomal complex" 0.286275523165467
0 0.327016846199343 2 8 "GO:0005682" "U5 snRNP" 1
0 0.0210637508683621 5 5 "GO:0005685" "U1 snRNP" 0.286275523165467
0 1 5 9 "GO:0005686" "U2 snRNP" 1
0 0.219209883222718 4 5 "GO:0005688" "U6 snRNP" 0.986227016278641
0 0.000828736681066373 2 137 "GO:0005694" "chromosome" 0.0309740334548557
0 1.15861578419356e-08 2 197 "GO:0005730" "nucleolus" 3.46426119473874e-06
0 0.0667571036207659 3 9 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 0.587069823017912
0 0.999266595702932 4 368 "GO:0005739" "mitochondrion" 1
0 1 4 7 "GO:0005740" "mitochondrial envelope" 1
0 0.935131762237914 3 55 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 1
0 1 4 5 "GO:0005742" "mitochondrial outer membrane translocase complex" 1
0 0.989251835884544 5 167 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 1 3 6 "GO:0005746" "mitochondrial respirasome" 1
0 1 4 12 "GO:0005747;GO:0045271;GO:0030964" "respiratory chain complex I" 1
0 0.29283874165324 4 7 "GO:0005750;GO:0045275" "mitochondrial respiratory chain complex III" 1
0 1 4 22 "GO:0005751;GO:0045277" "respiratory chain complex IV" 1
0 1 2 20 "GO:0005758;GO:0031970" "mitochondrial intermembrane space" 1
0 0.815012114706608 2 34 "GO:0005759" "mitochondrial matrix" 1
0 1 2 5 "GO:0005761;GO:0000313" "mitochondrial ribosome" 1
0 1 2 74 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 1
0 0.949488215234874 7 60 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 1
0 0.799200463092017 6 137 "GO:0005768" "endosome" 1
0 0.162298602095526 2 29 "GO:0005769" "early endosome" 0.968858848009204
0 1 8 14 "GO:0005770" "late endosome" 1
0 1 2 8 "GO:0005776" "autophagosome" 1
0 0.86948819698891 6 41 "GO:0005777;GO:0042579" "microbody" 1
0 0.569289760856846 5 17 "GO:0005778;GO:0031903" "microbody membrane" 1
0 0.165256860362774 5 366 "GO:0005783" "endoplasmic reticulum" 0.968858848009204
0 0.256932105122234 3 6 "GO:0005786;GO:0048500" "signal recognition particle" 0.997697395214909
0 0.394611394239804 2 28 "GO:0005788" "endoplasmic reticulum lumen" 1
0 0.123908068139967 4 315 "GO:0005789" "endoplasmic reticulum membrane" 0.887364289166307
0 1 6 5 "GO:0005791" "rough endoplasmic reticulum" 1
0 0.138437710239207 5 320 "GO:0005794" "Golgi apparatus" 0.938237990409109
0 0.29283874165324 2 7 "GO:0005795" "Golgi stack" 1
0 0.29283874165324 3 7 "GO:0005798" "Golgi-associated vesicle" 1
0 0.377178367309871 2 27 "GO:0005802" "trans-Golgi network" 1
0 1 3 11 "GO:0005811" "lipid droplet" 1
0 0.26926819858626 3 21 "GO:0005813" "centrosome" 1
0 1 3 18 "GO:0005814" "centriole" 1
0 0.275968944830554 2 73 "GO:0005815" "microtubule organizing center" 1
0 0.237523851096415 3 35 "GO:0005819" "spindle" 0.997697395214909
0 0.980580680656829 2 118 "GO:0005829" "cytosol" 1
0 1 2 8 "GO:0005833" "hemoglobin complex" 1
0 1 3 13 "GO:0005834;GO:1905360" "GTPase complex" 1
0 1 2 23 "GO:0005839" "proteasome core complex" 1
