"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.00986891847924902 3 18 "GO:0000030" "mannosyltransferase activity" 0.284451911521274
0 0.0202331476048827 5 22 "GO:0000049" "tRNA binding" 0.430117557148958
0 0.362092689594462 4 9 "GO:0000062;GO:0120227;GO:1901567" "fatty-acyl-CoA binding" 1
0 1 3 13 "GO:0000149;GO:0019905" "SNARE binding" 1
0 0.000496356581726909 5 22 "GO:0000175;GO:0016896;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 0.0545164978930055
0 1 2 6 "GO:0000179;GO:0016433" "rRNA (adenine) methyltransferase activity" 1
0 0.522995767571378 2 98 "GO:0000287" "magnesium ion binding" 1
0 0.0422497218978883 2 7 "GO:0000339" "RNA cap binding" 0.605273189798008
0 0.0135812621193899 2 134 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.344232759102998
0 0.301739785353811 3 75 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 0.529987577955659 7 57 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 0.965497891282815 2 279 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.0422497218978883 2 7 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.605273189798008
0 0.527385295003534 3 15 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 1
0 1 3 9 "GO:0001540" "amyloid-beta binding" 1
0 1 2 5 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 1 3 11 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 1
0 0.158886833468348 2 59 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 2 7 "GO:0001671" "ATPase activator activity" 1
0 1 6 5 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 1
0 1 5 7 "GO:0001784;GO:0045309;GO:0051219" "phosphotyrosine residue binding" 1
0 1 3 5 "GO:0001965" "G-protein alpha-subunit binding" 1
0 1 3 8 "GO:0002039" "p53 binding" 1
0 0.393188056139091 2 10 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.0107910436844186 2 1262 "GO:0003677" "DNA binding" 0.284451911521274
0 0.00797772875861731 2 17 "GO:0003678" "DNA helicase activity" 0.274305115863291
0 0.0083248897075354 2 37 "GO:0003682" "chromatin binding" 0.274305115863291
0 0.550435582114296 5 16 "GO:0003684" "damaged DNA binding" 1
0 0.0890773792654517 2 22 "GO:0003697" "single-stranded DNA binding" 0.838599899084752
0 1 3 20 "GO:0003707" "steroid hormone receptor activity" 1
0 0.00585018516122668 2 94 "GO:0003712" "transcription coregulator activity" 0.240954501328024
0 0.268444742940525 3 37 "GO:0003713" "transcription coactivator activity" 1
0 0.0104272195677155 2 28 "GO:0003714" "transcription corepressor activity" 0.284451911521274
0 6.80454440899525e-08 4 673 "GO:0003723" "RNA binding" 4.48419476552787e-05
0 0.0663093853810514 2 59 "GO:0003724" "RNA helicase activity" 0.79450699938387
0 1 2 10 "GO:0003725" "double-stranded RNA binding" 1
0 0.455451814051198 2 51 "GO:0003729" "mRNA binding" 1
0 1 2 25 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.0266641103222162 2 162 "GO:0003735" "structural constituent of ribosome" 0.47456085242772
0 0.165023518593304 5 44 "GO:0003743" "translation initiation factor activity" 1
0 1 5 17 "GO:0003746" "translation elongation factor activity" 1
0 0.0770910256195578 3 47 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.827287407765206
0 0.00347153913971739 3 7 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.152516286204917
0 0.897251233156067 2 134 "GO:0003774" "motor activity" 1
0 0.965111271687198 3 67 "GO:0003777" "microtubule motor activity" 1
0 0.405720817221597 2 283 "GO:0003779" "actin binding" 1
0 1 5 7 "GO:0003785" "actin monomer binding" 1
0 0.0822343906928041 2 10 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 0.827287407765206
0 1 5 5 "GO:0003839" "gamma-glutamylcyclotransferase activity" 1
0 1 4 5 "GO:0003854" "3-beta-hydroxy-delta5-steroid dehydrogenase activity" 1
0 1 3 5 "GO:0003872" "6-phosphofructokinase activity" 1
0 1 4 8 "GO:0003873;GO:0004331" "6-phosphofructo-2-kinase activity" 1
0 1 3 5 "GO:0003876;GO:0047623" "AMP deaminase activity" 1
0 0.258935305178909 2 6 "GO:0003886;GO:0009008" "DNA (cytosine-5-)-methyltransferase activity" 1
0 0.0235745668345483 5 23 "GO:0003899;GO:0034062;GO:0097747" "DNA-directed 5'-3' RNA polymerase activity" 0.470776955877798
0 1 2 6 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 1
0 0.329406922804539 2 8 "GO:0003916" "DNA topoisomerase activity" 1
0 0.220974461167398 2 5 "GO:0003917" "DNA topoisomerase type I (single strand cut, ATP-independent) activity" 1
0 0.027488383676562 2 308 "GO:0003924" "GTPase activity" 0.47456085242772
0 0.17464974166088 -1 45 "GO:0003925" "obsolete small monomeric GTPase activity" 1
0 0.0272310176429305 5 24 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.47456085242772
0 1 2 11 "GO:0003995" "acyl-CoA dehydrogenase activity" 1
0 1 2 12 "GO:0004000" "adenosine deaminase activity" 1
0 1 3 11 "GO:0004016" "adenylate cyclase activity" 1
0 1 3 5 "GO:0004017" "adenylate kinase activity" 1
0 1 5 6 "GO:0004064" "arylesterase activity" 1
0 0.593223920644234 2 18 "GO:0004089" "carbonate dehydratase activity" 1
0 1 4 8 "GO:0004111;GO:0016775" "phosphotransferase activity, nitrogenous group as acceptor" 1
0 1 7 37 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 1
0 1 2 13 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 1
0 1 3 12 "GO:0004143" "diacylglycerol kinase activity" 1
0 0.329406922804539 4 8 "GO:0004169" "dolichyl-phosphate-mannose-protein mannosyltransferase activity" 1
0 0.987866519749302 4 343 "GO:0004175" "endopeptidase activity" 1
0 1 2 9 "GO:0004176" "ATP-dependent peptidase activity" 1
0 0.776863704079157 5 30 "GO:0004177" "aminopeptidase activity" 1
0 0.798126960827517 4 32 "GO:0004181;GO:0004180" "carboxypeptidase activity" 1
0 1 5 19 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 1
0 0.717750713330318 2 51 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.713407167553913 6 25 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 1
0 0.970821225511577 5 108 "GO:0004222" "metalloendopeptidase activity" 1
0 0.938867933049602 3 178 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 1
0 0.295049569059079 2 7 "GO:0004298" "threonine-type endopeptidase activity" 1
0 0.572363608882399 2 17 "GO:0004312" "fatty acid synthase activity" 1
0 0.220974461167398 5 5 "GO:0004359" "glutaminase activity" 1
0 1 3 11 "GO:0004364" "glutathione transferase activity" 1
0 0.220974461167398 2 5 "GO:0004376" "glycolipid mannosyltransferase activity" 1
0 1 3 15 "GO:0004383" "guanylate cyclase activity" 1
0 5.05356095947121e-05 4 106 "GO:0004386" "helicase activity" 0.0111009889076384
0 0.295049569059079 2 7 "GO:0004396;GO:0005536" "hexokinase activity" 1
0 0.0890773792654517 5 22 "GO:0004402;GO:0061733;GO:0034212" "peptide N-acetyltransferase activity" 0.838599899084752
0 0.0623184395806079 2 19 "GO:0004407;GO:0033558" "protein deacetylase activity" 0.7605157719189
0 1 2 10 "GO:0004415" "hyalurononglucosaminidase activity" 1
0 0.666988946613771 3 22 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity" 1
0 1 3 11 "GO:0004438;GO:0052744" "phosphatidylinositol monophosphate phosphatase activity" 1
0 0.258935305178909 3 6 "GO:0004445;GO:0046030" "inositol trisphosphate phosphatase activity" 1
0 1 5 5 "GO:0004467;GO:0015645" "long-chain fatty acid-CoA ligase activity" 1
0 0.993368356634231 2 100 "GO:0004497" "monooxygenase activity" 1
0 1 5 5 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 1
0 0.125974127451277 4 119 "GO:0004518" "nuclease activity" 0.996528650113643
0 0.254383571279434 2 70 "GO:0004519" "endonuclease activity" 1
0 0.0822343906928041 4 10 "GO:0004520" "endodeoxyribonuclease activity" 0.827287407765206
0 0.466415123516742 4 32 "GO:0004521" "endoribonuclease activity" 1
0 1 2 8 "GO:0004526;GO:0004549" "tRNA-specific ribonuclease activity" 1
0 0.00127858364085328 5 35 "GO:0004527" "exonuclease activity" 0.0920180305946855
0 0.0545480928408652 2 8 "GO:0004535" "poly(A)-specific ribonuclease activity" 0.694586578110979
0 0.0707625182468564 2 20 "GO:0004536" "deoxyribonuclease activity" 0.818114026748743
0 0.0500565878706051 3 55 "GO:0004540" "ribonuclease activity" 0.694586578110979
0 0.477685711068107 2 13 "GO:0004550" "nucleoside diphosphate kinase activity" 1
0 1 2 5 "GO:0004551" "nucleotide diphosphatase activity" 1
0 0.375999709227567 2 121 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 0.527385295003534 2 15 "GO:0004559;GO:0015923" "mannosidase activity" 1
0 1 2 6 "GO:0004563" "beta-N-acetylhexosaminidase activity" 1
0 1 3 5 "GO:0004565;GO:0015925" "beta-galactosidase activity" 1
0 1 4 9 "GO:0004571;GO:0015924" "mannosyl-oligosaccharide 1,2-alpha-mannosidase activity" 1
0 0.422770272866932 3 11 "GO:0004602" "glutathione peroxidase activity" 1
0 0.688239268320319 2 72 "GO:0004620;GO:0016298" "lipase activity" 1
0 1 5 5 "GO:0004622" "lysophospholipase activity" 1
0 1 2 14 "GO:0004623" "phospholipase A2 activity" 1
0 1 5 6 "GO:0004634" "phosphopyruvate hydratase activity" 1
0 1 2 12 "GO:0004652;GO:1990817" "polynucleotide adenylyltransferase activity" 1
0 1 2 19 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 1
0 1 3 6 "GO:0004656;GO:0031545" "peptidyl-proline 4-dioxygenase activity" 1
0 0.393188056139091 4 10 "GO:0004659" "prenyltransferase activity" 1
0 0.498287940250162 3 649 "GO:0004672" "protein kinase activity" 1
0 0.127023378770176 2 330 "GO:0004674" "protein serine/threonine kinase activity" 0.996528650113643
0 1 5 20 "GO:0004675" "transmembrane receptor protein serine/threonine kinase activity" 1
0 0.258935305178909 2 6 "GO:0004679" "AMP-activated protein kinase activity" 1
0 1 3 11 "GO:0004683" "calmodulin-dependent protein kinase activity" 1
0 0.393188056139091 3 10 "GO:0004690" "cyclic nucleotide-dependent protein kinase activity" 1
0 1 4 6 "GO:0004692" "cGMP-dependent protein kinase activity" 1
0 0.291143993160419 5 22 "GO:0004697;GO:0004698;GO:0009931;GO:0010857" "protein kinase C activity" 1
0 1 5 8 "GO:0004703" "G protein-coupled receptor kinase activity" 1
0 1 2 20 "GO:0004707" "MAP kinase activity" 1
0 1 3 12 "GO:0004709" "MAP kinase kinase kinase activity" 1
0 0.295049569059079 2 7 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 1
0 0.67279794819081 2 116 "GO:0004713" "protein tyrosine kinase activity" 1
0 1 2 93 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 1
0 0.0358383543357522 3 38 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 0.562320845410969
0 1 3 10 "GO:0004720" "protein-lysine 6-oxidase activity" 1
0 0.864232665027424 4 176 "GO:0004721" "phosphoprotein phosphatase activity" 1
0 0.618038220708219 2 87 "GO:0004722;GO:0017018" "protein serine/threonine phosphatase activity" 1
0 0.927009899287993 2 86 "GO:0004725" "protein tyrosine phosphatase activity" 1
0 1 5 7 "GO:0004731" "purine-nucleoside phosphorylase activity" 1
0 1 2 6 "GO:0004749;GO:0016778" "diphosphotransferase activity" 1
0 1 2 5 "GO:0004767" "sphingomyelin phosphodiesterase activity" 1
0 0.258935305178909 5 6 "GO:0004792" "thiosulfate sulfurtransferase activity" 1
0 1 2 8 "GO:0004806" "triglyceride lipase activity" 1
0 0.0170887109957821 3 43 "GO:0004812;GO:0016875" "ligase activity, forming carbon-oxygen bonds" 0.388326225731738
0 0.871098751857149 2 178 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 1
0 0.504564606983172 3 96 "GO:0004843;GO:0008242;GO:0101005" "omega peptidase activity" 1
0 1 2 5 "GO:0004849" "uridine kinase activity" 1
0 0.991696091156406 2 137 "GO:0004857" "enzyme inhibitor activity" 1
0 1 3 6 "GO:0004861" "cyclin-dependent protein serine/threonine kinase inhibitor activity" 1
0 0.698700500466271 2 24 "GO:0004864;GO:0019212" "protein phosphatase inhibitor activity" 1
0 0.991468737100792 2 95 "GO:0004866;GO:0030414;GO:0061135;GO:0061134" "peptidase regulator activity" 1
0 0.93938825411786 2 56 "GO:0004867" "serine-type endopeptidase inhibitor activity" 1
0 1 6 13 "GO:0004869" "cysteine-type endopeptidase inhibitor activity" 1
0 1 2 39 "GO:0004879;GO:0098531" "nuclear receptor activity" 1
0 0.257382205845909 2 53 "GO:0004896;GO:0140375" "immune receptor activity" 1
0 1 3 6 "GO:0004908" "interleukin-1 receptor activity" 1
0 0.996155910878821 4 381 "GO:0004930" "G protein-coupled receptor activity" 1
0 1 5 10 "GO:0004931;GO:0035381" "ATP-gated ion channel activity" 1
0 1 3 12 "GO:0004935" "adrenergic receptor activity" 1
0 1 2 5 "GO:0004936" "alpha-adrenergic receptor activity" 1
0 0.27277430098815 3 21 "GO:0004950;GO:0001637" "G protein-coupled chemoattractant receptor activity" 1
0 1 2 10 "GO:0004953" "icosanoid receptor activity" 1
0 1 3 7 "GO:0004955;GO:0004954" "prostanoid receptor activity" 1
0 1 2 5 "GO:0004957" "prostaglandin E receptor activity" 1
0 1 4 32 "GO:0004970;GO:0008066" "ionotropic glutamate receptor activity" 1
0 1 2 5 "GO:0004984" "olfactory receptor activity" 1
0 1 2 5 "GO:0004985" "opioid receptor activity" 1
