"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 18 "GO:0000030" "mannosyltransferase activity" 1
0 1 5 22 "GO:0000049" "tRNA binding" 1
0 0.551032849151254 6 9 "GO:0000062;GO:0120227;GO:1901567" "fatty-acyl-CoA binding" 1
0 0.00038041111489429 2 13 "GO:0000149;GO:0019905" "SNARE binding" 0.0100276369886135
0 1 4 22 "GO:0000175;GO:0016896;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 1
0 1 2 6 "GO:0000179;GO:0016433" "rRNA (adenine) methyltransferase activity" 1
0 0.322008819465728 5 98 "GO:0000287" "magnesium ion binding" 1
0 1 3 7 "GO:0000339" "RNA cap binding" 1
0 0.999426461591798 4 134 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 1
0 0.990058855699798 3 75 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 0.993799236718936 2 57 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 0.0504462675423871 3 279 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.375482548135144
0 1 3 7 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 1
0 1 3 15 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 1
0 0.000416153416255861 2 9 "GO:0001540" "amyloid-beta binding" 0.0105478885120236
0 0.359053656673522 3 5 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 1 2 11 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 1
0 0.96619581375526 4 59 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 2 7 "GO:0001671" "ATPase activator activity" 1
0 0.359053656673522 3 5 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 1
0 1 4 7 "GO:0001784;GO:0045309;GO:0051219" "phosphotyrosine residue binding" 1
0 0.060830825291346 2 5 "GO:0001965" "G-protein alpha-subunit binding" 0.39690607789106
0 0.509237108381551 2 8 "GO:0002039" "p53 binding" 1
0 1 2 10 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.997879410185542 4 1262 "GO:0003677" "DNA binding" 1
0 0.779794423947305 3 17 "GO:0003678" "DNA helicase activity" 1
0 0.835149960310644 2 37 "GO:0003682" "chromatin binding" 1
0 1 5 16 "GO:0003684" "damaged DNA binding" 1
0 1 5 22 "GO:0003697" "single-stranded DNA binding" 1
0 0.517275625436487 3 20 "GO:0003707" "steroid hormone receptor activity" 1
0 0.999774476636983 2 94 "GO:0003712" "transcription coregulator activity" 1
0 0.962986758296216 3 37 "GO:0003713" "transcription coactivator activity" 1
0 1 3 28 "GO:0003714" "transcription corepressor activity" 1
0 0.999998221695878 2 673 "GO:0003723" "RNA binding" 1
0 0.96619581375526 2 59 "GO:0003724" "RNA helicase activity" 1
0 1 4 10 "GO:0003725" "double-stranded RNA binding" 1
0 0.938859204417339 5 51 "GO:0003729" "mRNA binding" 1
0 0.640433505979268 6 25 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.999934285554617 2 162 "GO:0003735" "structural constituent of ribosome" 1
0 1 2 44 "GO:0003743" "translation initiation factor activity" 1
0 0.431030633741499 2 17 "GO:0003746" "translation elongation factor activity" 1
0 0.775413074905861 3 47 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 1 3 7 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 0.104607034863891 5 134 "GO:0003774" "motor activity" 0.550082253864688
0 0.11334230516158 2 67 "GO:0003777" "microtubule motor activity" 0.565091389082465
0 0.294028165380191 2 283 "GO:0003779" "actin binding" 1
0 1 3 7 "GO:0003785" "actin monomer binding" 1
0 1 2 10 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 1
0 0.359053656673522 5 5 "GO:0003839" "gamma-glutamylcyclotransferase activity" 1
0 1 4 5 "GO:0003854" "3-beta-hydroxy-delta5-steroid dehydrogenase activity" 1
0 0.060830825291346 6 5 "GO:0003872" "6-phosphofructokinase activity" 0.39690607789106
0 0.509237108381551 3 8 "GO:0003873;GO:0004331" "6-phosphofructo-2-kinase activity" 1
0 0.359053656673522 3 5 "GO:0003876;GO:0047623" "AMP deaminase activity" 1
0 1 2 6 "GO:0003886;GO:0009008" "DNA (cytosine-5-)-methyltransferase activity" 1
0 1 3 23 "GO:0003899;GO:0034062;GO:0097747" "DNA-directed 5'-3' RNA polymerase activity" 1
0 1 2 6 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 1
0 0.509237108381551 2 8 "GO:0003916" "DNA topoisomerase activity" 1
0 0.359053656673522 2 5 "GO:0003917" "DNA topoisomerase type I (single strand cut, ATP-independent) activity" 1
0 0.0014862475934471 7 308 "GO:0003924" "GTPase activity" 0.02967991406308
0 0.33618785316194 -1 45 "GO:0003925" "obsolete small monomeric GTPase activity" 1
