"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.746360212823892 4 18 "GO:0000030" "mannosyltransferase activity" 1
0 0.486993610637793 2 22 "GO:0000049" "tRNA binding" 1
0 0.496230190272728 5 9 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 0.246165959331615 3 13 "GO:0000149;GO:0019905" "SNARE binding" 1
0 0.486993610637793 4 22 "GO:0000175;GO:0016896;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 1
0 1 2 6 "GO:0000179;GO:0016433" "rRNA (adenine) methyltransferase activity" 1
0 0.430051948742503 2 98 "GO:0000287" "magnesium ion binding" 1
0 1 2 7 "GO:0000339" "RNA cap binding" 1
0 0.277590751081755 4 134 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 1
0 0.0967541998623701 2 75 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.937662025136793
0 0.798765740461557 2 57 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 0.0555252595796435 2 279 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.725846109226597
0 1 3 7 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 1
0 1 3 15 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 1
0 0.496230190272728 4 9 "GO:0001540" "amyloid-beta binding" 1
0 0.316711886122289 5 5 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 0.567458296195184 5 11 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 1
0 0.262919514309623 2 59 "GO:0001664" "G protein-coupled receptor binding" 1
0 0.413289182591213 4 7 "GO:0001671" "ATPase activator activity" 1
0 0.316711886122289 2 5 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 1
0 1 4 7 "GO:0001784;GO:0045309;GO:0051219" "protein phosphorylated amino acid binding" 1
0 1 3 5 "GO:0001965" "G-protein alpha-subunit binding" 1
0 1 3 8 "GO:0002039" "p53 binding" 1
0 1 4 10 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.821000614640909 3 1262 "GO:0003677" "DNA binding" 1
0 1 5 17 "GO:0003678" "DNA helicase activity" 1
0 0.765834608591421 2 37 "GO:0003682" "chromatin binding" 1
0 0.704563439061195 5 16 "GO:0003684" "damaged DNA binding" 1
0 0.813066550678337 2 22 "GO:0003697" "single-stranded DNA binding" 1
0 0.437018601240636 3 20 "GO:0003707" "steroid hormone receptor activity" 1
0 0.695912188115855 2 94 "GO:0003712" "transcription coregulator activity" 1
0 0.516473416470263 3 37 "GO:0003713" "transcription coactivator activity" 1
0 0.619079146065039 3 28 "GO:0003714" "transcription corepressor activity" 1
0 0.999359641706007 2 673 "GO:0003723" "RNA binding" 1
0 0.937060668809032 5 59 "GO:0003724" "RNA helicase activity" 1
0 1 4 10 "GO:0003725" "double-stranded RNA binding" 1
0 0.732824995563647 4 51 "GO:0003729" "mRNA binding" 1
0 0.556518733289043 2 25 "GO:0003730" "mRNA 3'-UTR binding" 1
