"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.567230652939331 5 18 "GO:0000030" "mannosyltransferase activity" 1
0 1 4 22 "GO:0000049" "tRNA binding" 1
0 0.342035453626023 3 9 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 1 3 13 "GO:0000149;GO:0019905" "SNARE binding" 1
0 0.640793757871805 2 22 "GO:0000175;GO:0016896;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 1
0 1 4 6 "GO:0000179;GO:0016433" "rRNA (adenine) methyltransferase activity" 1
0 0.461138567936953 5 98 "GO:0000287" "magnesium ion binding" 1
0 1 4 7 "GO:0000339" "RNA cap binding" 1
0 0.99810427659228 4 134 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 1
0 1 2 75 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 1 3 57 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 0.996236421929235 2 279 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 1 2 7 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 1
0 1 3 15 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 1
0 1 4 9 "GO:0001540" "amyloid-beta binding" 1
0 1 2 5 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 1 3 11 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 1
0 0.279676724097754 3 59 "GO:0001664" "G protein-coupled receptor binding" 1
0 0.0371613845745933 2 7 "GO:0001671" "ATPase activator activity" 0.330937195062932
0 1 5 5 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 1
0 1 3 7 "GO:0001784;GO:0045309;GO:0051219" "protein phosphorylated amino acid binding" 1
0 1 2 5 "GO:0001965" "G-protein alpha-subunit binding" 1
0 1 2 8 "GO:0002039" "p53 binding" 1
0 1 2 10 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.999999964607108 2 1262 "GO:0003677" "DNA binding" 1
0 1 2 17 "GO:0003678" "DNA helicase activity" 1
0 0.821491241201273 2 37 "GO:0003682" "chromatin binding" 1
0 1 4 16 "GO:0003684" "damaged DNA binding" 1
0 1 3 22 "GO:0003697" "single-stranded DNA binding" 1
0 1 2 20 "GO:0003707" "steroid hormone receptor activity" 1
0 1 2 94 "GO:0003712" "transcription coregulator activity" 1
0 1 2 37 "GO:0003713" "transcription coactivator activity" 1
0 1 3 28 "GO:0003714" "transcription corepressor activity" 1
0 0.999999484057967 2 673 "GO:0003723" "RNA binding" 1
0 0.93609930729109 2 59 "GO:0003724" "RNA helicase activity" 1
0 1 2 10 "GO:0003725" "double-stranded RNA binding" 1
0 0.90713612909907 3 51 "GO:0003729" "mRNA binding" 1
0 0.68765100084898 5 25 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.980135594913401 2 162 "GO:0003735" "structural constituent of ribosome" 1
0 0.871234844165077 5 44 "GO:0003743" "translation initiation factor activity" 1
0 0.546601524985222 2 17 "GO:0003746" "translation elongation factor activity" 1
0 0.888063159394749 2 47 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 1 3 7 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 0.99810427659228 4 134 "GO:0003774" "motor activity" 1
0 1 2 67 "GO:0003777" "microtubule motor activity" 1
0 0.99671825795583 3 283 "GO:0003779" "actin binding" 1
0 0.0371613845745933 2 7 "GO:0003785" "actin monomer binding" 0.330937195062932
0 0.0727965711826432 3 10 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 0.545147050106385
0 0.0187983863782693 5 5 "GO:0003839" "gamma-glutamylcyclotransferase activity" 0.245007746772166
0 0.207462714634622 2 5 "GO:0003854" "3-beta-hydroxy-delta5-steroid dehydrogenase activity" 1
0 0.207462714634622 3 5 "GO:0003872" "6-phosphofructokinase activity" 1
0 1 3 8 "GO:0003873;GO:0004331" "6-phosphofructo-2-kinase activity" 1
0 1 5 5 "GO:0003876;GO:0047623" "AMP deaminase activity" 1
0 1 4 6 "GO:0003886;GO:0009008" "DNA (cytosine-5-)-methyltransferase activity" 1
0 1 3 23 "GO:0003899;GO:0034062;GO:0097747" "DNA-directed 5'-3' RNA polymerase activity" 1
0 1 3 6 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 1
0 1 2 8 "GO:0003916" "DNA topoisomerase activity" 1
0 1 3 5 "GO:0003917" "DNA topoisomerase type I (single strand cut, ATP-independent) activity" 1
0 0.898883848155969 4 308 "GO:0003924" "GTPase activity" 1
0 0.877107579312953 -1 45 "GO:0003925" "obsolete small monomeric GTPase activity" 1
0 0.672752345659349 2 24 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 0.00107612075712577 2 11 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.0322347081339037
0 0.427770376045733 2 12 "GO:0004000" "adenosine deaminase activity" 1
0 0.40050869355237 2 11 "GO:0004016" "adenylate cyclase activity" 1
0 0.207462714634622 2 5 "GO:0004017" "adenylate kinase activity" 1
0 0.243483945022895 5 6 "GO:0004064" "arylesterase activity" 1
0 0.195906349765366 3 18 "GO:0004089" "carbonate dehydratase activity" 1
0 1 5 8 "GO:0004111;GO:0016775" "creatine kinase activity" 1
0 0.506097519637592 3 37 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 1
0 0.45379464883727 8 13 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 1
0 1 5 12 "GO:0004143" "diacylglycerol kinase activity" 1
0 1 2 8 "GO:0004169" "dolichyl-phosphate-mannose-protein mannosyltransferase activity" 1
0 0.00383981415173891 2 343 "GO:0004175" "endopeptidase activity" 0.0874965812559962
0 0.0599982880324241 5 9 "GO:0004176" "ATP-dependent peptidase activity" 0.471833367025431
0 1 2 30 "GO:0004177" "aminopeptidase activity" 1
0 0.774610513333982 2 32 "GO:0004181;GO:0004180" "carboxypeptidase activity" 1
0 1 2 19 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 1
0 1 2 51 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 1 4 25 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 1
0 0.367095774762639 2 108 "GO:0004222" "metalloendopeptidase activity" 1
0 5.67155879573016e-05 3 178 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 0.00311463103865515
0 1 2 7 "GO:0004298" "threonine-type endopeptidase activity" 1
0 1 2 17 "GO:0004312" "fatty acid synthase activity" 1
0 1 2 5 "GO:0004359" "glutaminase activity" 1
0 0.40050869355237 4 11 "GO:0004364" "glutathione transferase activity" 1
0 0.207462714634622 2 5 "GO:0004376" "glycolipid mannosyltransferase activity" 1
0 1 3 15 "GO:0004383" "guanylate cyclase activity" 1
0 0.992931063030943 5 106 "GO:0004386" "helicase activity" 1
0 0.277871038430945 4 7 "GO:0004396;GO:0005536" "glucose binding" 1
0 0.640793757871805 5 22 "GO:0004402;GO:0061733;GO:0034212" "peptide N-acetyltransferase activity" 1
0 1 2 19 "GO:0004407;GO:0033558" "protein deacetylase activity" 1
0 1 2 10 "GO:0004415" "hyalurononglucosaminidase activity" 1
0 0.640793757871805 2 22 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity" 1
0 1 4 11 "GO:0004438;GO:0052744" "phosphatidylinositol-3-phosphatase activity" 1
0 1 3 6 "GO:0004445;GO:0046030" "inositol-polyphosphate 5-phosphatase activity" 1
0 1 2 5 "GO:0004467;GO:0015645" "long-chain fatty acid-CoA ligase activity" 1
0 4.21567742043282e-05 2 100 "GO:0004497" "monooxygenase activity" 0.00252557401824112
0 1 5 5 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 1
0 0.996161509517407 3 119 "GO:0004518" "nuclease activity" 1
0 1 5 70 "GO:0004519" "endonuclease activity" 1
0 1 2 10 "GO:0004520" "endodeoxyribonuclease activity" 1
0 1 2 32 "GO:0004521" "endoribonuclease activity" 1
0 1 2 8 "GO:0004526;GO:0004549" "tRNA-specific ribonuclease activity" 1
0 0.804036717559163 5 35 "GO:0004527" "exonuclease activity" 1
0 0.31069799078229 5 8 "GO:0004535" "poly(A)-specific ribonuclease activity" 1
0 1 2 20 "GO:0004536" "deoxyribonuclease activity" 1
0 0.922964489731555 2 55 "GO:0004540" "ribonuclease activity" 1
0 1 3 13 "GO:0004550" "nucleoside diphosphate kinase activity" 1
0 1 3 5 "GO:0004551" "nucleotide diphosphatase activity" 1
0 0.184743114746341 3 121 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 0.502352675713767 2 15 "GO:0004559;GO:0015923" "mannosidase activity" 1
0 1 2 6 "GO:0004563" "beta-N-acetylhexosaminidase activity" 1
0 1 6 5 "GO:0004565;GO:0015925" "beta-galactosidase activity" 1
0 0.342035453626023 7 9 "GO:0004571;GO:0015924" "mannosyl-oligosaccharide mannosidase activity" 1
0 1 4 11 "GO:0004602" "glutathione peroxidase activity" 1
0 0.414782126708615 5 72 "GO:0004620;GO:0016298" "lipase activity" 1
0 0.207462714634622 5 5 "GO:0004622" "lysophospholipase activity" 1
0 1 2 14 "GO:0004623" "phospholipase A2 activity" 1
0 1 3 6 "GO:0004634" "phosphopyruvate hydratase activity" 1
0 0.427770376045733 2 12 "GO:0004652;GO:1990817" "polynucleotide adenylyltransferase activity" 1
0 1 2 19 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 1
0 1 4 6 "GO:0004656;GO:0031545" "peptidyl-proline 4-dioxygenase activity" 1
0 1 2 10 "GO:0004659" "prenyltransferase activity" 1
0 0.993263662633572 3 649 "GO:0004672" "protein kinase activity" 1
0 0.937096486396606 2 330 "GO:0004674" "protein serine/threonine kinase activity" 1
0 0.22976314052899 2 20 "GO:0004675" "transmembrane receptor protein serine/threonine kinase activity" 1
0 1 3 6 "GO:0004679" "AMP-activated protein kinase activity" 1
0 0.40050869355237 3 11 "GO:0004683" "calmodulin-dependent protein kinase activity" 1
0 1 3 10 "GO:0004690" "cyclic nucleotide-dependent protein kinase activity" 1
0 1 2 6 "GO:0004692" "cGMP-dependent protein kinase activity" 1
0 1 4 22 "GO:0004697;GO:0004698;GO:0009931;GO:0010857" "calcium-dependent protein kinase C activity" 1
0 1 3 8 "GO:0004703" "G protein-coupled receptor kinase activity" 1
0 1 2 20 "GO:0004707" "MAP kinase activity" 1
0 0.427770376045733 3 12 "GO:0004709" "MAP kinase kinase kinase activity" 1
0 1 2 7 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 1
0 0.778894591291567 2 116 "GO:0004713" "protein tyrosine kinase activity" 1
0 0.247363740390119 2 93 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 1
0 1 5 38 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 1
0 1 2 10 "GO:0004720" "protein-lysine 6-oxidase activity" 1
0 0.997510948764014 2 176 "GO:0004721" "phosphoprotein phosphatase activity" 1
0 0.982766329984764 3 87 "GO:0004722;GO:0017018" "protein serine/threonine phosphatase activity" 1
0 0.981939539306955 3 86 "GO:0004725" "protein tyrosine phosphatase activity" 1
0 1 2 7 "GO:0004731" "purine-nucleoside phosphorylase activity" 1
0 1 5 6 "GO:0004749;GO:0016778" "diphosphotransferase activity" 1
0 1 2 5 "GO:0004767" "sphingomyelin phosphodiesterase activity" 1
0 0.0273565626932558 5 6 "GO:0004792" "thiosulfate sulfurtransferase activity" 0.28404042324455
0 0.0480823719715319 2 8 "GO:0004806" "triglyceride lipase activity" 0.401092191509361
0 1 3 43 "GO:0004812;GO:0016875" "ligase activity, forming carbon-oxygen bonds" 1
0 0.964183776077365 2 178 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 1
0 0.640372959939 4 96 "GO:0004843;GO:0008242;GO:0101005" "omega peptidase activity" 1
0 1 7 5 "GO:0004849" "uridine kinase activity" 1
0 3.76429111194013e-13 3 137 "GO:0004857" "enzyme inhibitor activity" 8.26889280922849e-11
0 1 2 6 "GO:0004861" "cyclin-dependent protein serine/threonine kinase inhibitor activity" 1
0 0.672752345659349 3 24 "GO:0004864;GO:0019212" "protein phosphatase inhibitor activity" 1
