"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.598646769171975 5 18 "GO:0000030" "mannosyltransferase activity" 1
0 0.297020923934482 2 22 "GO:0000049" "tRNA binding" 1
0 0.366357235507753 5 9 "GO:0000062;GO:0120227;GO:1901567" "fatty-acyl-CoA binding" 1
0 1 3 13 "GO:0000149;GO:0019905" "SNARE binding" 1
0 0.672407897607991 4 22 "GO:0000175;GO:0016896;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 1
0 1 3 6 "GO:0000179;GO:0016433" "rRNA (adenine) methyltransferase activity" 1
0 0.869159809687304 3 98 "GO:0000287" "magnesium ion binding" 1
0 1 2 7 "GO:0000339" "RNA cap binding" 1
0 0.343259313022799 3 134 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 1
0 0.312242546778619 4 75 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 0.944758022194581 7 57 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 0.994919811380834 2 279 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 1 3 7 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 1
0 0.53264089584168 3 15 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 1
0 1 4 9 "GO:0001540" "amyloid-beta binding" 1
0 0.223871540709287 2 5 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 1 5 11 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 1
0 0.950109307677573 2 59 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 4 7 "GO:0001671" "ATPase activator activity" 1
0 1 2 5 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 1
0 1 5 7 "GO:0001784;GO:0045309;GO:0051219" "phosphotyrosine residue binding" 1
0 1 3 5 "GO:0001965" "G-protein alpha-subunit binding" 1
0 1 2 8 "GO:0002039" "p53 binding" 1
0 1 2 10 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.00166356119666343 2 1262 "GO:0003677" "DNA binding" 0.0843297560462462
0 1 3 17 "GO:0003678" "DNA helicase activity" 1
0 5.90744792331288e-05 2 37 "GO:0003682" "chromatin binding" 0.00778601636292638
0 0.185758240720181 5 16 "GO:0003684" "damaged DNA binding" 1
0 1 3 22 "GO:0003697" "single-stranded DNA binding" 1
0 0.637394734642746 3 20 "GO:0003707" "steroid hormone receptor activity" 1
0 0.0423280462418863 2 94 "GO:0003712" "transcription coregulator activity" 0.929806082446769
0 0.0341543366307829 3 37 "GO:0003713" "transcription coactivator activity" 0.833618808877257
0 0.406005066047371 3 28 "GO:0003714" "transcription corepressor activity" 1
0 3.56475353761899e-17 2 673 "GO:0003723" "RNA binding" 2.34917258129091e-14
0 0.00811072440839365 3 59 "GO:0003724" "RNA helicase activity" 0.281314072901653
0 0.0843263959012596 5 10 "GO:0003725" "double-stranded RNA binding" 1
0 0.0387707062502483 2 51 "GO:0003729" "mRNA binding" 0.881030876514263
0 0.352304401819989 6 25 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.997555694759056 2 162 "GO:0003735" "structural constituent of ribosome" 1
0 0.00123827498882114 2 44 "GO:0003743" "translation initiation factor activity" 0.0741839288757392
0 1 5 17 "GO:0003746" "translation elongation factor activity" 1
0 0.201323401222066 2 47 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 0.29871742542173 2 7 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 0.343259313022799 6 134 "GO:0003774" "motor activity" 1
0 0.423947655066089 8 67 "GO:0003777" "microtubule motor activity" 1
0 1.00779398777308e-05 2 283 "GO:0003779" "actin binding" 0.0022137874598082
0 0.29871742542173 5 7 "GO:0003785" "actin monomer binding" 1
0 1 4 10 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 1
0 1 4 5 "GO:0003839" "gamma-glutamylcyclotransferase activity" 1
0 1 3 5 "GO:0003854" "3-beta-hydroxy-delta5-steroid dehydrogenase activity" 1
0 1 4 5 "GO:0003872" "6-phosphofructokinase activity" 1
0 1 5 8 "GO:0003873;GO:0004331" "fructose-2,6-bisphosphate 2-phosphatase activity" 1
0 1 4 5 "GO:0003876;GO:0047623" "adenosine-phosphate deaminase activity" 1
0 1 4 6 "GO:0003886;GO:0009008" "DNA (cytosine-5-)-methyltransferase activity" 1
0 0.688627630805395 5 23 "GO:0003899;GO:0034062;GO:0097747" "DNA-directed 5'-3' RNA polymerase activity" 1
0 0.262241318354739 3 6 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 1
