GeneID	GO_Terms
ENSAPEG00000000002	GO:0005515;GO:0048583
ENSAPEG00000000006	GO:0016787;GO:0004252;GO:0006508;GO:0008233;GO:0008236;GO:0005615
ENSAPEG00000000007	GO:0016787;GO:0004252;GO:0006508;GO:0008233;GO:0008236;GO:0005615
ENSAPEG00000000008	GO:0016020;GO:0004930;GO:0007165;GO:0007186
ENSAPEG00000000009	GO:0005216;GO:0006811;GO:0051262;GO:0055085;GO:0016020;GO:0098655
ENSAPEG00000000010	GO:0015631;GO:0046785
ENSAPEG00000000011	GO:0016020;GO:0016740;GO:0016409;GO:0016746;GO:0019706
ENSAPEG00000000012	GO:0016020;GO:0016491;GO:0033555;GO:0034650;GO:0070523
ENSAPEG00000000013	GO:0016020;GO:0046872;GO:0005509
ENSAPEG00000000014	GO:0000287;GO:0016616;GO:0051287;GO:0006099;GO:0005739
ENSAPEG00000000016	GO:0003924;GO:0005525;GO:0060828
ENSAPEG00000000017	GO:0005085
ENSAPEG00000000019	GO:0016020
ENSAPEG00000000021	GO:0055085;GO:0016020;GO:0006811;GO:0006812;GO:0005886;GO:0015297;GO:0015385;GO:0006814;GO:0006885;GO:0035725;GO:0015299
ENSAPEG00000000024	GO:0003700;GO:0006355;GO:0005634;GO:0003677;GO:0006351
ENSAPEG00000000025	GO:0003700;GO:0006355;GO:0005634;GO:0003677;GO:0006351;GO:0001889;GO:0002573;GO:0030097;GO:0030223;GO:0035701;GO:0060215;GO:0060216;GO:0045944;GO:0000978;GO:0001228;GO:0030851
ENSAPEG00000000026	GO:0003676;GO:0006397
ENSAPEG00000000027	GO:0005515
ENSAPEG00000000028	GO:0005515
ENSAPEG00000000029	GO:0004521;GO:0046872;GO:0000469;GO:0042274;GO:0090502;GO:0005634;GO:0016787;GO:0004518
ENSAPEG00000000030	GO:0016020;GO:0015031;GO:0000139;GO:0005794;GO:0017119
ENSAPEG00000000031	GO:0008017;GO:0007049;GO:0051013;GO:0051301;GO:0000922;GO:0005737;GO:0005813;GO:0005815;GO:0005819;GO:0005856;GO:0005874;GO:0008352;GO:0005515
ENSAPEG00000000032	GO:0004521;GO:0046872;GO:0000469;GO:0042274;GO:0090502;GO:0005634;GO:0016787;GO:0004518
ENSAPEG00000000033	GO:0016020;GO:0015031;GO:0000139;GO:0005794;GO:0017119
ENSAPEG00000000034	GO:0051013;GO:0008352;GO:0008017;GO:0005515
ENSAPEG00000000035	GO:0008017;GO:0005874;GO:0000166;GO:0005524;GO:0003774;GO:0003777;GO:0007018;GO:0048731
ENSAPEG00000000036	GO:0016020
ENSAPEG00000000037	GO:0016020
ENSAPEG00000000038	GO:0007018;GO:0005524;GO:0003777;GO:0008017
ENSAPEG00000000039	GO:0016020
ENSAPEG00000000040	GO:0016020
ENSAPEG00000000041	GO:0016020
ENSAPEG00000000042	GO:0016020;GO:0005576;GO:0005509;GO:0008092;GO:0004859;GO:0005544;GO:0005604
ENSAPEG00000000043	GO:0003700;GO:0006355;GO:0005634;GO:0003677;GO:0043565;GO:0048731;GO:0009653
ENSAPEG00000000044	GO:0005634;GO:0006367;GO:0005672
ENSAPEG00000000046	GO:0016020
ENSAPEG00000000047	GO:0005125;GO:0007165;GO:0005576
ENSAPEG00000000048	GO:0005125;GO:0006954;GO:0007165;GO:0005576;GO:0050896;GO:0005615
ENSAPEG00000000049	GO:0031110
ENSAPEG00000000050	GO:0003924;GO:0005634;GO:0005737;GO:0000166;GO:0005525;GO:0016787
ENSAPEG00000000051	GO:0016020;GO:0005125;GO:0006954;GO:0007165;GO:0005576;GO:0050896;GO:0005615
ENSAPEG00000000053	GO:0071466
ENSAPEG00000000054	GO:0016020;GO:0006914
ENSAPEG00000000055	GO:0005216;GO:0006811;GO:0055085;GO:0016020;GO:0005244;GO:0005249;GO:0005267;GO:0006813;GO:0034765;GO:0051260;GO:0071805;GO:0008076;GO:0005515
ENSAPEG00000000056	GO:0003735;GO:0006412;GO:0005840;GO:1990904
ENSAPEG00000000057	GO:0006396;GO:0005730
ENSAPEG00000000058	GO:0006396;GO:0005730
ENSAPEG00000000059	GO:0003677;GO:0046982
ENSAPEG00000000060	GO:0046872;GO:0005634;GO:0042799;GO:0034770;GO:0040014;GO:0005694;GO:0005515;GO:0007517;GO:0034772;GO:0006338;GO:0140941;GO:0140944
ENSAPEG00000000061	GO:0016020
ENSAPEG00000000062	GO:0005525;GO:0000166
ENSAPEG00000000063	GO:0016020;GO:0060840;GO:0060841;GO:1903670
ENSAPEG00000000064	GO:0005125;GO:0007165;GO:0005576
ENSAPEG00000000065	GO:0005125;GO:0006954;GO:0007165;GO:0005576;GO:0050896;GO:0005615
ENSAPEG00000000066	GO:0031110
ENSAPEG00000000067	GO:0003924;GO:0005634;GO:0005737;GO:0000166;GO:0005525;GO:0016787
ENSAPEG00000000068	GO:0005125;GO:0006954;GO:0007165;GO:0005576;GO:0050896;GO:0005615
ENSAPEG00000000070	GO:0046872;GO:0005506;GO:0016705;GO:0031418;GO:0016491;GO:0051213
ENSAPEG00000000071	GO:0031297;GO:0005634;GO:0007049;GO:0000076;GO:0006974
ENSAPEG00000000072	GO:0003723;GO:0004540;GO:0090501
ENSAPEG00000000073	GO:0016020;GO:0005044;GO:0006897;GO:0048856
ENSAPEG00000000074	GO:0016020
ENSAPEG00000000075	GO:0003924;GO:0005525;GO:0001525;GO:0001944;GO:0032402;GO:0070121;GO:0055037
ENSAPEG00000000077	GO:0016020
ENSAPEG00000000079	GO:0005737;GO:0000166;GO:0005524;GO:0004672;GO:0004674;GO:0006468
ENSAPEG00000000082	GO:0005515
ENSAPEG00000000083	GO:0005634;GO:0003714;GO:0016575;GO:0005515;GO:0045892
ENSAPEG00000000084	GO:0005515
ENSAPEG00000000086	GO:0004842
ENSAPEG00000000089	GO:0005737;GO:0016740;GO:0005975;GO:0004801;GO:0006098
ENSAPEG00000000090	GO:0005737;GO:0016740;GO:0005975;GO:0004801;GO:0006098
ENSAPEG00000000091	GO:0016020;GO:0051640;GO:0070925
ENSAPEG00000000092	GO:0005634;GO:0006974;GO:0003676;GO:0006281;GO:0016567;GO:0005515;GO:0043161
ENSAPEG00000000093	GO:0005515
ENSAPEG00000000094	GO:0016020;GO:0005773;GO:0005774;GO:0042995;GO:0005929
ENSAPEG00000000095	GO:0016020
ENSAPEG00000000096	GO:0007165;GO:0005576;GO:0005179
ENSAPEG00000000097	GO:0005216;GO:0006811;GO:0055085;GO:0016020;GO:0005244;GO:0005249;GO:0005267;GO:0006813;GO:0034765;GO:0051260;GO:0071805;GO:0008076;GO:0005515;GO:0110165
ENSAPEG00000000098	GO:0003677
ENSAPEG00000000099	GO:0003700;GO:0006355;GO:0046872;GO:0005634;GO:0003677;GO:0008270;GO:0043565;GO:0004879;GO:0030522;GO:0006629;GO:0006351;GO:0006357;GO:0043010;GO:1904729
ENSAPEG00000000100	GO:0016020;GO:0005737;GO:0006915;GO:0005886;GO:0005085
ENSAPEG00000000101	GO:0046872;GO:0016491
ENSAPEG00000000102	GO:0016020;GO:0005576;GO:0005794;GO:0005783;GO:0035118
ENSAPEG00000000103	GO:0016020
ENSAPEG00000000106	GO:0016020;GO:0042552;GO:0048666;GO:0005515
ENSAPEG00000000108	GO:0005216;GO:0006811;GO:0055085;GO:0016020;GO:0005249;GO:0006813;GO:0005886;GO:0071805;GO:0034220;GO:0001822;GO:0086001;GO:0097205;GO:0005516
ENSAPEG00000000109	GO:0005634;GO:0004861;GO:0051726;GO:0004860;GO:0060255;GO:0051171;GO:0080090
ENSAPEG00000000110	GO:0005216;GO:0006811;GO:0055085;GO:0016020;GO:0098655
ENSAPEG00000000112	GO:0046872;GO:0005634;GO:0005737;GO:0008270;GO:0007165;GO:0016740;GO:0004842;GO:0042981;GO:0016567;GO:0005164;GO:0009615;GO:0009617;GO:0043122;GO:0045087;GO:0045893;GO:0005938;GO:0005515;GO:0005811;GO:0035556
ENSAPEG00000000113	GO:0030041;GO:0044782;GO:0061371;GO:0005515
ENSAPEG00000000114	GO:0035195;GO:0016442
ENSAPEG00000000115	GO:0016491
ENSAPEG00000000116	GO:0000423
ENSAPEG00000000117	GO:0016020;GO:0005515
ENSAPEG00000000118	GO:0046872;GO:0005737;GO:0008270;GO:0016829;GO:0046570;GO:0006915;GO:0008652;GO:0009086;GO:0019284;GO:0019509
ENSAPEG00000000119	GO:0016020;GO:0015293;GO:0044316;GO:0098793;GO:1902475
ENSAPEG00000000120	GO:0004252;GO:0006508
ENSAPEG00000000121	GO:0016020
ENSAPEG00000000122	GO:0016020;GO:0016740;GO:0000139;GO:0005975;GO:0008146
ENSAPEG00000000123	GO:0046872;GO:0005509
ENSAPEG00000000124	GO:0046872;GO:0005509
ENSAPEG00000000125	GO:0046872;GO:0005509
ENSAPEG00000000126	GO:0046328;GO:0005515
ENSAPEG00000000127	GO:0016020;GO:0016740;GO:0016757;GO:0005975;GO:0016758
ENSAPEG00000000128	GO:0016020;GO:0005509;GO:0006897;GO:0005515;GO:0048513
ENSAPEG00000000129	GO:0006396;GO:0005730
ENSAPEG00000000130	GO:0006396;GO:0005730
ENSAPEG00000000131	GO:0000423
ENSAPEG00000000132	GO:0005509;GO:0005515
ENSAPEG00000000138	GO:0016020;GO:0015293;GO:0055085
ENSAPEG00000000139	GO:0016740;GO:0008168;GO:0032259;GO:0018216;GO:0016274;GO:0008170
ENSAPEG00000000141	GO:0006355;GO:0005634;GO:0003677;GO:0006357;GO:0021515;GO:0000981
ENSAPEG00000000142	GO:0022008;GO:0005515
ENSAPEG00000000144	GO:0006355;GO:0005634;GO:0003677;GO:0006357;GO:0003700;GO:0001946;GO:0002040;GO:0008045;GO:0045892;GO:0045944;GO:0005667;GO:0000978
ENSAPEG00000000145	GO:0046872;GO:0045214;GO:0060047;GO:0035994;GO:0048513
ENSAPEG00000000146	GO:0016020;GO:0016740;GO:0016409;GO:0016746;GO:0019706;GO:0000139;GO:0030510;GO:0042665;GO:0060803;GO:0031410;GO:0030659;GO:0005515
ENSAPEG00000000148	GO:0016787
ENSAPEG00000000149	GO:0016020;GO:0005515
ENSAPEG00000000150	GO:0016020;GO:0005886;GO:0034632;GO:0038023;GO:0034633
ENSAPEG00000000151	GO:0003700;GO:0006355;GO:0046872;GO:0005634;GO:0003677;GO:0008270;GO:0043565;GO:0006351
ENSAPEG00000000152	GO:0055085;GO:0016020;GO:0022857
ENSAPEG00000000153	GO:0016020;GO:0016829;GO:0005783;GO:0005789;GO:0006629;GO:0006631;GO:0006633
ENSAPEG00000000154	GO:0055085;GO:0016020;GO:0006811;GO:0015297;GO:0006816;GO:0070588;GO:0015085
ENSAPEG00000000155	GO:0005737;GO:0005085;GO:0005515
ENSAPEG00000000156	GO:0035556;GO:0016567;GO:0009968
ENSAPEG00000000157	GO:0005634;GO:0003677;GO:0005515;GO:0043229
ENSAPEG00000000158	GO:0016787;GO:0008152;GO:0003934;GO:0046654;GO:0003824;GO:0006729;GO:0035998;GO:0003933
ENSAPEG00000000159	GO:0005737;GO:0003723;GO:0030371;GO:0017148;GO:0043488;GO:0005515
ENSAPEG00000000160	GO:0016020;GO:0005783;GO:0005789;GO:0016491;GO:0071949;GO:0016972;GO:0015035;GO:0034975
ENSAPEG00000000161	GO:0014028;GO:0060034;GO:0005886;GO:0005515
ENSAPEG00000000162	GO:0016020;GO:0005856;GO:0000139
ENSAPEG00000000163	GO:0016020;GO:0005856;GO:0000139
ENSAPEG00000000164	GO:0006811;GO:0001947;GO:0003406;GO:0008057;GO:0032438;GO:0035675;GO:0039022;GO:0046688;GO:0060041;GO:0060271;GO:0070986;GO:1902600;GO:0033179;GO:0046961;GO:0045176
ENSAPEG00000000165	GO:0003700;GO:0006355;GO:0005634;GO:0003677;GO:0043565
ENSAPEG00000000169	GO:0006937;GO:0005861
ENSAPEG00000000170	GO:0006355;GO:0005634;GO:0003677;GO:0046983;GO:0007517;GO:0030154
ENSAPEG00000000171	GO:0005576;GO:0046556;GO:0046373;GO:0005515
ENSAPEG00000000173	GO:0016020;GO:0016485;GO:0043085;GO:0007219;GO:0030674;GO:0070765
ENSAPEG00000000174	GO:0005861
ENSAPEG00000000175	GO:0005515
ENSAPEG00000000177	GO:0005515
ENSAPEG00000000178	GO:0008137;GO:0016651;GO:0022900
ENSAPEG00000000179	GO:0016787;GO:0004721;GO:0008138;GO:0016791;GO:0006470;GO:0016311;GO:0008654;GO:0008962
ENSAPEG00000000180	GO:0008017;GO:0005737;GO:0005856;GO:0000226
ENSAPEG00000000181	GO:0015031;GO:0016192;GO:0005765;GO:0031902;GO:0010008
ENSAPEG00000000185	GO:0016020
ENSAPEG00000000186	GO:0005576;GO:0030198;GO:0005515
ENSAPEG00000000187	GO:0003735;GO:0005840
ENSAPEG00000000188	GO:0005634;GO:0005737;GO:0032793
ENSAPEG00000000189	GO:0005634;GO:0005737;GO:0032793;GO:0008140;GO:0051289
ENSAPEG00000000190	GO:0043087;GO:0005515;GO:0120025
ENSAPEG00000000191	GO:0043410;GO:0005576;GO:0007186;GO:0005184;GO:0008343;GO:0009267;GO:0032099;GO:0005615
ENSAPEG00000000192	GO:0043410;GO:0005576;GO:0007186;GO:0005184;GO:0008343;GO:0009267;GO:0032099;GO:0005615
ENSAPEG00000000193	GO:0090263;GO:0048639;GO:1903708;GO:2000382
ENSAPEG00000000194	GO:0005737;GO:0005813;GO:0005815;GO:0005856;GO:0005874;GO:0000226;GO:0005829;GO:0043015;GO:0007020;GO:0042670;GO:0060221;GO:0000922
ENSAPEG00000000195	GO:0005634;GO:0006974
ENSAPEG00000000196	GO:0008017;GO:0005874;GO:0000226
ENSAPEG00000000197	GO:0005737;GO:0000166;GO:0000829;GO:0000832;GO:0005524;GO:0016301;GO:0016740;GO:0033857;GO:0052723;GO:0052724;GO:0016310;GO:0005829;GO:0000827;GO:0000828
ENSAPEG00000000198	GO:0005576;GO:0007155;GO:0005540
ENSAPEG00000000200	GO:0005634
ENSAPEG00000000201	GO:0016020;GO:0004930;GO:0007165;GO:0007186;GO:0005886;GO:0004935;GO:0004938;GO:0006940;GO:0019229;GO:0030168;GO:0071875
ENSAPEG00000000202	GO:0016787;GO:0006508;GO:0008233;GO:0004190;GO:0003406;GO:0009617;GO:0061061;GO:0005764
ENSAPEG00000000203	GO:0016020;GO:0004930;GO:0007165;GO:0007186;GO:0005886;GO:0045202;GO:0004952;GO:0001963;GO:0007195
ENSAPEG00000000204	GO:0016740;GO:0070403
ENSAPEG00000000205	GO:0016020
ENSAPEG00000000206	GO:0030097;GO:0000502;GO:0032991
ENSAPEG00000000207	GO:0016020;GO:0005886;GO:0005783;GO:0005789;GO:0030314
ENSAPEG00000000209	GO:0005737;GO:0000166;GO:0005524;GO:0004672;GO:0004674;GO:0006468
ENSAPEG00000000212	GO:0016020;GO:0016740;GO:0000139;GO:0005794;GO:0006486;GO:0016757;GO:0016758
ENSAPEG00000000213	GO:0003700;GO:0006355;GO:0046872;GO:0005634;GO:0003677;GO:0008270;GO:0043565;GO:0004879;GO:0030522;GO:0006351;GO:0010468
ENSAPEG00000000214	GO:0016757;GO:0008194
ENSAPEG00000000215	GO:0000244;GO:0000353;GO:0046540;GO:0005682
ENSAPEG00000000216	GO:0016020;GO:0016787
ENSAPEG00000000217	GO:0055085;GO:0016020;GO:0000166;GO:0005524;GO:0016887;GO:0140359
ENSAPEG00000000221	GO:0016020;GO:0003677;GO:0046982;GO:0000786;GO:0005515;GO:0030527
ENSAPEG00000000222	GO:0005737;GO:0000166;GO:0005524;GO:0004672;GO:0006468
ENSAPEG00000000224	GO:0005525;GO:0005634;GO:0005737
ENSAPEG00000000225	GO:0007165
ENSAPEG00000000226	GO:0005515
ENSAPEG00000000227	GO:0004114;GO:0030553;GO:0007601;GO:0047555
ENSAPEG00000000228	GO:0004114;GO:0030553;GO:0007601;GO:0047555
ENSAPEG00000000229	GO:0004114;GO:0030553;GO:0007601;GO:0047555
ENSAPEG00000000230	GO:0005737;GO:0043227
ENSAPEG00000000231	GO:0046872;GO:0005509
ENSAPEG00000000232	GO:0046872;GO:0005509
ENSAPEG00000000234	GO:0016020;GO:0005794
ENSAPEG00000000236	GO:0005515
ENSAPEG00000000237	GO:0005515
ENSAPEG00000000238	GO:0005515
ENSAPEG00000000239	GO:0005737;GO:0005515
ENSAPEG00000000240	GO:0003676
ENSAPEG00000000241	GO:0016020
ENSAPEG00000000243	GO:0005737;GO:0005819;GO:0005856
ENSAPEG00000000245	GO:0016020
ENSAPEG00000000247	GO:0003677;GO:0043130;GO:0043162;GO:0000813;GO:0005515
ENSAPEG00000000248	GO:0005515;GO:0030016;GO:0030018
ENSAPEG00000000250	GO:0016020;GO:0015031;GO:0042147;GO:0005829;GO:0030906;GO:0110165
ENSAPEG00000000251	GO:0005737;GO:0003677;GO:0043130;GO:0006914;GO:0002376;GO:0045087;GO:0006954;GO:0005515
ENSAPEG00000000252	GO:0007165;GO:0005576;GO:0005179;GO:0005515
ENSAPEG00000000253	GO:0005515
ENSAPEG00000000254	GO:0005576
ENSAPEG00000000256	GO:0016020;GO:0005515;GO:0110165
ENSAPEG00000000257	GO:0000398;GO:0006397;GO:0005515;GO:0030620
ENSAPEG00000000258	GO:0016020;GO:0005737;GO:0006886;GO:0005783;GO:0005789
ENSAPEG00000000259	GO:0005576;GO:0030198
ENSAPEG00000000262	GO:0003924;GO:0005525;GO:0000166;GO:0110165
ENSAPEG00000000263	GO:0046872;GO:0005634;GO:0005737;GO:0003676;GO:0003723
ENSAPEG00000000264	GO:0003755;GO:0016853;GO:0000413
ENSAPEG00000000265	GO:0016020;GO:0005886
ENSAPEG00000000266	GO:0008289;GO:0006869
ENSAPEG00000000267	GO:0005515
ENSAPEG00000000268	GO:0005515
ENSAPEG00000000269	GO:0003779
ENSAPEG00000000270	GO:0005783;GO:0006457
ENSAPEG00000000271	GO:0016020;GO:0110165
