gene,inMod
ENSAPEG00000000002,0
ENSAPEG00000000004,1
ENSAPEG00000000005,1
ENSAPEG00000000006,0
ENSAPEG00000000007,0
ENSAPEG00000000009,1
ENSAPEG00000000010,0
ENSAPEG00000000011,0
ENSAPEG00000000012,1
ENSAPEG00000000014,1
ENSAPEG00000000016,0
ENSAPEG00000000017,1
ENSAPEG00000000018,1
ENSAPEG00000000019,1
ENSAPEG00000000021,1
ENSAPEG00000000022,0
ENSAPEG00000000026,0
ENSAPEG00000000028,1
ENSAPEG00000000029,1
ENSAPEG00000000032,1
ENSAPEG00000000038,1
ENSAPEG00000000041,0
ENSAPEG00000000042,0
ENSAPEG00000000044,1
ENSAPEG00000000045,1
ENSAPEG00000000046,1
ENSAPEG00000000049,1
ENSAPEG00000000050,1
ENSAPEG00000000053,0
ENSAPEG00000000054,1
ENSAPEG00000000055,0
ENSAPEG00000000056,1
ENSAPEG00000000058,1
ENSAPEG00000000059,1
ENSAPEG00000000060,0
ENSAPEG00000000061,0
ENSAPEG00000000062,0
ENSAPEG00000000063,1
ENSAPEG00000000071,0
ENSAPEG00000000072,1
ENSAPEG00000000073,1
ENSAPEG00000000075,1
ENSAPEG00000000076,1
ENSAPEG00000000079,0
ENSAPEG00000000081,0
ENSAPEG00000000082,1
ENSAPEG00000000083,1
ENSAPEG00000000084,1
ENSAPEG00000000085,1
ENSAPEG00000000086,1
ENSAPEG00000000089,1
ENSAPEG00000000091,0
ENSAPEG00000000092,1
ENSAPEG00000000093,0
ENSAPEG00000000095,1
ENSAPEG00000000096,0
ENSAPEG00000000098,1
ENSAPEG00000000099,0
ENSAPEG00000000100,0
ENSAPEG00000000101,1
ENSAPEG00000000102,1
ENSAPEG00000000103,1
ENSAPEG00000000104,0
ENSAPEG00000000105,1
ENSAPEG00000000106,0
ENSAPEG00000000108,0
ENSAPEG00000000110,0
ENSAPEG00000000112,1
ENSAPEG00000000113,0
ENSAPEG00000000115,1
ENSAPEG00000000117,1
ENSAPEG00000000118,1
ENSAPEG00000000119,0
ENSAPEG00000000120,1
ENSAPEG00000000121,0
ENSAPEG00000000122,1
ENSAPEG00000000123,1
ENSAPEG00000000126,0
ENSAPEG00000000127,1
ENSAPEG00000000128,1
ENSAPEG00000000129,1
ENSAPEG00000000130,1
ENSAPEG00000000132,0
ENSAPEG00000000136,1
ENSAPEG00000000137,1
ENSAPEG00000000138,1
ENSAPEG00000000139,1
ENSAPEG00000000140,1
ENSAPEG00000000141,1
ENSAPEG00000000142,1
ENSAPEG00000000144,0
