"GeneID","GO_Terms","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2","pval.P1vsP2","padj.P1vsP2","pval.P1vsS","padj.P1vsS","pval.P2vsS","padj.P2vsS","GeneName"
"ENSAPEG00000002507","GO:0007626;GO:0043009;GO:0048741;GO:0005515",1.833523916,1.975042073,1.567898176,1.843718502,1.789432155,1.649609711,1.612682782,1.440284516,1.543730314,1.435764964,1.517646669,2.467788811,1.549403022,1.599054645,1.404027673,1.565215554,1.432196926,1.410554986,2.340651374,1.906816556,1.820074037,1.987189503,1.860222625,1.643660277,1.775159641,2.069186438,2.162117044,1.640950069,1.652955628,1.4286763,1.607278089,1.802170244,1.613765759,1.634805049,1.716265944,2.586909414,1.49772756,1.793725771,1.565958481,1.841703017,1.386121972,2.100328521,1.535962497,1.968050533,1.72775812,0.724895776,0.958285777,0.363757275,0.738044183,0.568884134,1,"ambra1b"
"ENSAPEG00000002615","GO:0005634;GO:0003676;GO:0003723;GO:0006397;GO:0008380;GO:0007409;GO:0007519;GO:0007528;GO:0007626;GO:0048514;GO:0048675;GO:0043484",6.027980032,6.13316067,5.993407828,6.21197428,6.403015934,6.124606754,6.386982191,6.381102663,6.113723319,6.044707606,6.052969848,6.355919904,6.256460782,6.336591605,6.187344166,6.231993157,6.624419821,6.059099062,6.321421657,6.656133836,6.653699715,6.378684314,6.077395236,6.245986881,5.836889106,6.387443879,6.64125421,6.469957326,6.549858961,5.733872841,6.297934141,6.492592569,6.160522191,6.413740059,6.545156097,6.273309951,6.210920976,6.267991891,6.248123821,5.98238043,6.16020124,5.967639982,6.106093493,6.197663556,6.135554541,0.152197761,0.652767077,0.056729223,0.327576398,0.642782841,1,"tardbpb"
"ENSAPEG00000002665","GO:0046872;GO:0000166;GO:0007165;GO:0005524;GO:0003774;GO:0003779;GO:0016459;GO:0005096;GO:0035556;GO:0000146;GO:0005515;GO:0048731;GO:0048468;GO:0007626;GO:0036269;GO:0048675;GO:0061564;GO:0098529",5.756516909,5.680768126,5.684923528,6.003309865,5.654816267,5.661759175,5.888102374,5.832043297,5.894926857,5.825130653,5.692084838,5.634637372,6.106647124,5.953935541,5.465482109,5.851010321,5.647071727,5.496385968,5.978099338,5.628015967,5.952001946,5.85886792,5.60095454,5.666781147,5.68805143,5.678312629,5.530526283,5.807284746,5.849886576,5.651239752,5.635704333,5.707038925,5.789432415,5.654563976,5.812101055,5.634781004,5.887488069,5.858700182,5.781104612,5.51141695,5.874806816,5.744536096,5.668572177,5.939033929,5.609215875,0.602478608,0.933543482,0.220859433,0.604923061,0.470622718,1,"myo9aa"
"ENSAPEG00000003913","GO:0006355;GO:0005634;GO:0003677;GO:0006357;GO:0000981;GO:0007632;GO:0021522;GO:0021767;GO:0021884;GO:0030182;GO:0035176;GO:0071542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"otpa"
"ENSAPEG00000006224","GO:0001654;GO:0007411;GO:0007420;GO:0007517;GO:0007519;GO:0007634;GO:0030903;GO:0031290;GO:0048570;GO:0048854;GO:0050908;GO:0061053;GO:0005604;GO:0048856",6.365335959,6.422725976,6.746209433,6.677411267,6.34085209,6.078409004,6.4139392,6.827670716,6.800352261,6.725490794,6.782024863,6.014067262,6.506603746,6.305008778,6.339084048,6.439659338,6.365398953,6.846616142,6.79868335,6.627198385,6.416131005,6.403179632,6.95148157,6.896584588,6.801952658,6.592586649,6.521607991,6.494185505,6.883977467,6.571647292,6.149306311,6.263574382,6.665426523,6.539423503,6.439291433,6.457849319,6.379529474,6.69088271,6.753646947,6.602572268,6.422506981,6.431374743,6.485226741,6.484676184,6.44543657,0.037216424,0.372653058,0.07668325,0.384373499,0.730221514,1,"lamc1"
"ENSAPEG00000007000","GO:0046872;GO:0007517;GO:0003206;GO:0003208;GO:0003209;GO:0007519;GO:0007626;GO:0048738;GO:0030018;GO:0014816;GO:0035914;GO:0048513",7.579000509,7.603971926,8.166403501,8.079345737,7.886555152,7.705880803,7.733451622,8.427749843,8.250059065,8.019030031,8.131852596,7.450067617,7.98651908,7.907207583,7.750587577,7.842844471,7.830557095,8.194868927,8.069640862,8.219171607,7.55788883,7.863283569,8.427441174,8.322420277,7.954068882,8.213567294,8.029910585,8.042661102,7.821656938,8.000145883,7.702713926,7.685970248,8.160990132,7.952233534,8.044855927,7.694189361,7.894551825,8.044462164,8.308544463,8.156735136,8.024947873,7.754688782,7.610346523,7.875136895,7.669002758,0.193985138,0.704383357,0.284557429,0.671973909,0.803728077,1,"fhl1a"
"ENSAPEG00000011282","GO:0005634;GO:0005737;GO:0015031;GO:0006886;GO:0007632;GO:0007634;GO:0010842;GO:0031267;GO:0006913;GO:0033036;GO:0071702",6.015072624,6.093835498,5.936704691,6.074624616,6.08651954,5.795981914,6.058039151,5.824750795,5.87608524,6.042631025,5.720814766,6.136810592,6.317790309,5.995084409,6.079742898,5.868416,5.980284325,5.41255807,6.034373299,5.700053965,5.642224181,6.16523733,6.035193034,5.677108753,5.702639406,5.790574403,6.155679178,5.809265022,5.813328037,5.870920258,6.155105077,5.763729856,5.913730875,5.709858647,5.997173687,5.695656483,5.788850789,5.686682252,6.016693913,5.775186374,5.709120378,6.057078791,5.805057366,5.965126243,5.886067544,0.738395848,0.961425592,0.009745747,0.13117127,0.020552941,1,"IPO13"
"ENSAPEG00000011909","GO:0016740;GO:0016746;GO:0007626",4.112684756,3.962183044,3.538168734,4.920848136,3.974350417,3.800649946,4.57651471,3.70573213,3.537876399,3.971065208,3.528465782,4.875172389,3.619677648,3.608473638,3.883127152,4.763945308,3.692746467,4.142975286,4.621100631,3.597571752,4.03864946,4.801989752,4.481580056,3.712087266,3.56624837,3.783500887,4.788584531,4.406197766,3.30122614,4.565243219,3.68495562,3.806064329,3.819797527,3.948071142,4.218431598,5.313137499,4.096087813,3.777405132,3.921125768,3.854879455,3.913524914,4.942775844,4.381944379,4.165399948,3.896620039,0.806167456,0.974910697,0.453981094,0.791586897,0.611495058,1,"chata"
"ENSAPEG00000012012","GO:0007634;GO:0009416",2.380888595,2.436400566,2.366041043,2.565512572,2.572290711,2.717233174,2.590014683,2.520135908,2.927450979,2.510847658,2.772635581,2.404110608,3.304389627,2.638048109,2.940893858,2.440640935,2.678033831,2.768305778,2.208625024,2.444798212,2.535568721,2.710211184,2.318542781,2.419762078,2.978063908,2.272593534,2.379122014,2.475295216,2.206014037,2.212161137,2.580775454,2.346918189,2.741901223,2.33377758,2.664169565,2.481818936,2.493245668,3.364720426,2.821509356,3.17756483,2.142846444,3.211778139,2.297702284,2.792993875,2.275865355,0.032118812,0.350946595,0.079607248,0.390212167,0.662063709,1,"rlbp1b"
"ENSAPEG00000012501","GO:0016020;GO:0046872;GO:0000166;GO:0007165;GO:0005524;GO:0003774;GO:0003779;GO:0016459;GO:0005096;GO:0035556;GO:0000146;GO:0007626;GO:0036269;GO:0048675;GO:0061564;GO:0005515;GO:0098529;GO:0048731;GO:0048468",3.759593611,3.982308812,3.43827521,3.929244357,3.863200292,3.499760789,4.09399006,3.800818361,3.712326678,3.892577406,3.68567311,3.853344634,3.923108348,3.81041213,3.724209275,3.810410475,3.653329214,3.694209714,3.634167893,3.820264312,3.784678237,3.978204088,3.599015259,3.352608565,3.892982823,3.923219377,3.807855644,3.769612816,3.851697144,4.101727192,4.1862411,3.844511214,3.74966694,3.588103909,3.584160239,3.822976969,3.941628859,3.791697416,3.636068823,3.49391709,3.803825505,4.018800285,3.610924265,3.745130437,3.737186764,0.898718427,0.987723669,0.779631056,0.939571429,0.670452732,1,"myo9ab"
