"GeneID","GO_Terms","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2","pval.P1vsP2","padj.P1vsP2","pval.P1vsS","padj.P1vsS","pval.P2vsS","padj.P2vsS","GeneName"
"ENSAPEG00000001219","GO:0016020;GO:0004930;GO:0007165;GO:0007186;GO:0050896;GO:0009881;GO:0007602",3.12362294,3.0782152,2.573977517,2.932331549,3.223800921,2.879874597,3.247377223,3.018005887,2.932501505,3.006714854,2.985735735,2.515063787,3.107205388,3.319378266,3.093457885,2.832429942,2.625795109,2.980194002,3.025354852,2.924936579,2.823689752,2.920883008,2.688943183,2.699850978,3.052329925,2.896209022,3.183264006,2.768658621,2.947295974,2.797286191,3.235082097,2.872859364,3.361418647,3.147440893,3.364639803,3.533183574,2.70235196,2.987946032,3.536934797,3.501635062,2.61675825,3.375086986,3.005632026,3.129075025,2.826085578,0.001696986,0.088818753,0.089457082,0.41122585,0.119751404,1,"opn4xb"
"ENSAPEG00000001332","GO:0006355;GO:0005634;GO:0003677;GO:0006357;GO:0050896;GO:0000981;GO:0007601",1.969082931,1.851919903,1.797484651,2.067004846,2.084755041,1.982556841,1.754908262,1.757229226,1.769779786,1.751205542,2.255616796,1.57670426,2.000495549,2.002313851,2.035213876,1.823525095,1.806956185,1.962674174,1.993010148,1.882766,1.557389869,1.929942329,1.733567506,1.781438037,1.812578604,2.039041178,1.674559172,2.061467008,1.68965313,1.694432278,1.842878034,2.020950303,2.219640566,2.133279282,2.130534235,1.738451969,2.003706359,1.996752461,2.100117602,2.0994352,1.917005689,2.066100201,1.788018659,2.373688027,1.667717672,0.005940355,0.161131249,0.145456641,0.510478299,0.155285869,1,"vsx2"
"ENSAPEG00000001706","GO:0003914;GO:0006281;GO:0009416",5.803927567,5.510980644,5.31221694,5.130624071,4.908955579,4.85810385,6.018881672,5.625177881,5.916176783,5.70814928,5.584968348,6.036171157,5.609418042,5.267539533,5.684227341,5.386527655,5.277626977,5.202074089,5.133540277,5.103388905,4.777180314,5.639874956,5.780000272,5.542102911,5.549464463,5.761591795,5.47849028,5.600679175,5.70161818,5.7019308,5.6307598,5.085353838,5.339625363,5.096213888,5.00031324,4.804817323,5.82439729,5.394034888,5.435643548,5.600757635,5.427835176,5.394115013,5.420848733,5.641962486,5.554679741,0.504450074,0.904040398,0.38531369,0.750860596,0.116890871,1,"cry5"
"ENSAPEG00000002064","GO:0016020;GO:0007601;GO:0004930;GO:0007165;GO:0007186;GO:0050896;GO:0009881;GO:0007602;GO:0008377",-2.273885016,-2.244503479,-2.277934808,-2.273411541,-2.275924598,-2.28238434,-2.275314987,-2.279978228,-2.279340366,-2.249614834,-2.280855668,-2.272888352,-2.272443308,-2.276115227,-2.244070609,-2.271310628,-2.272287142,-2.274178467,-2.272787448,-2.277830478,-2.274508429,-2.271177511,-2.276544719,-2.278748591,-2.271956609,-2.274580598,-2.27396067,-2.273643179,-2.272927129,-2.272598019,-2.275632735,-2.275336461,-2.280280009,-2.279202081,-2.279297291,-2.269513444,-2.276057025,-2.279347069,-2.278047752,-2.280379452,-2.276265952,-2.273449386,-2.273394863,-2.275445474,-2.274426491,1,NA,0.930033879,NA,0.876176048,1,"opn4.1"
"ENSAPEG00000002525","GO:0016020;GO:0007601;GO:0004930;GO:0007165;GO:0007186;GO:0050896;GO:0009881;GO:0007602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"parietopsin"
"ENSAPEG00000002861","GO:0005737;GO:0000166;GO:0007165;GO:0005524;GO:0016301;GO:0016740;GO:0016310;GO:0004672;GO:0004674;GO:0006468;GO:0004703;GO:0050254;GO:0036368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"grk1b"
"ENSAPEG00000002962","GO:0046872;GO:0005509;GO:0036368",7.371004421,7.538019999,6.785065833,6.63878796,6.829950315,6.824064003,6.844814549,6.854821923,6.799865776,6.816064689,7.329321981,5.969067997,7.603126811,6.661128489,7.36955387,6.990083997,6.386345212,6.509799397,5.822265319,6.083619772,5.706112475,6.660300117,6.214178808,5.959400054,6.786264708,5.951749382,6.881359098,6.468834426,6.525841627,5.878284205,7.111076391,6.756742165,6.853344105,6.634484561,6.495646115,5.701733766,6.892379014,7.512563147,6.565698482,7.806818362,6.345114777,7.251019152,6.570534706,7.573909787,5.638818447,0.002831705,0.112174721,0.000520636,0.02692743,0.653482683,1,"rcvrn3"
"ENSAPEG00000004252","GO:0009266;GO:0009416;GO:0045892",8.733053068,8.945296212,9.259705805,9.253368252,9.603841788,9.279706389,8.890482749,8.601009747,8.943097148,9.05711071,9.180053908,9.252248695,9.072855903,8.996356844,9.007162856,8.982352039,9.238631805,9.253039938,9.779027443,9.338114678,9.652895861,8.837442309,8.949505437,9.156707076,9.273567048,9.4618688,8.973577278,9.083026242,9.054482243,9.078940118,9.018617659,9.186737597,9.169179034,9.601719022,9.360002306,9.211831603,8.957383397,9.032690525,9.093120258,9.090586169,9.492075077,9.010094988,9.125627328,8.949193524,9.170927286,0.478153366,0.896498006,0.092483241,0.416589374,0.331235688,1,"cry3a"
"ENSAPEG00000004303","GO:0007605;GO:0050953;GO:0050957;GO:0005515",0.138706805,0.128776469,0.304681979,0.018811242,0.23088534,0.161482246,0.237412612,0.187263929,0.19413,-0.013400821,-0.016124617,0.021177465,0.149675312,0.00634209,0.243546424,0.028202335,0.150852933,0.454184868,0.021631823,-0.001729785,0.133915213,0.028786873,0.004330368,-0.006084309,0.384804062,0.24525059,0.016309854,0.255206085,0.02100268,0.022483008,0.234012522,0.009970523,0.184018506,0.195619361,0.096485129,0.035976269,0.121909372,0.28566529,-0.002758567,0.08796074,0.120280123,0.465820055,0.142454521,0.236016914,0.2468913,0.52629048,NA,0.916008195,NA,0.571083997,1,"USH1G"
"ENSAPEG00000004545","GO:0016787;GO:0004114;GO:0030553;GO:0007601;GO:0050896;GO:0047555",0.493780975,0.366105615,0.652643381,0.817581396,0.361712126,0.323211659,0.481147872,0.928816953,0.717259917,0.530612184,0.610483677,0.617664524,0.731779931,0.360592558,0.698834218,0.388102198,0.382650648,0.491200559,0.618831941,0.458646532,0.369967799,0.388838804,0.672767338,0.548784384,0.510552014,0.369549941,0.710058491,0.374950813,0.724873534,0.380898154,0.780004203,0.480957108,0.530668117,0.342267818,0.445434678,0.397903947,0.360934568,0.632219224,0.651008536,0.777365215,0.359706102,0.717397043,0.498075553,0.364517836,0.370441815,0.716310207,NA,0.21941227,NA,0.363477551,1,"pde6ga"
