"","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2"
"opn1sw1***",-0.117555253,-0.245429975,0.052236997,-0.238624017,0.173015786,-0.178118754,0.085920719,-0.160900181,-0.057851556,-0.265744537,-0.167191209,-0.110631852,-0.234949827,-0.249121851,-0.123551111,-0.099832718,-0.234362125,0.100478845,-0.109935016,-0.145502809,-0.242844615,-0.230228516,-0.25081572,-0.259584829,-0.233122951,-0.243124287,-0.003651942,-0.23951041,0.006609709,-0.235533436,-0.129848599,-0.017420169,-0.067343982,-0.261400796,-0.261782384,-0.087815589,-0.248892777,-0.057919335,-0.147058006,-0.068347327,-0.134341115,-0.238768648,-0.114141453,0.084245954,-0.242527371
"rho***",0.519467439,0.606245005,0.567160002,0.411267263,0.389924492,0.50458115,0.279394632,0.449646941,0.36046904,0.446130568,0.82366414,0.29248616,0.842487642,0.49402861,0.400031254,0.300778259,0.295668781,0.516136852,0.416496349,0.265508807,0.283785548,0.301468713,0.272637618,0.365588905,0.297406807,0.283394133,0.406640178,0.288453722,0.292279973,0.294026449,0.499553544,0.394954385,0.44618486,0.458561494,0.457467305,0.309967086,0.388789544,0.631914573,0.371647664,0.83443495,0.492300878,0.410949131,0.824436036,0.394023462,0.284229574
"rcvrn2***",2.334314719,2.143508031,2.14920477,2.187131234,2.124894286,2.710257523,2.293662403,1.871805478,1.964904531,2.15345119,1.685804001,1.918348853,2.121719341,1.859567225,2.154232474,2.0499852,1.821737882,2.168152507,1.920169736,1.916172998,2.074898882,2.242231601,1.754830998,1.719607584,1.93511278,1.887640182,2.087344421,1.904689083,2.110777513,1.816926792,2.42208131,2.218333798,2.017346317,2.369169196,2.2457395,2.187449382,2.039649978,1.710010669,2.519794723,2.213779257,1.856801351,2.186195242,1.804533113,2.427987897,1.890448784
"gc2***",2.360408865,2.549803782,1.916848831,2.286553066,2.655278975,2.541447835,2.24078866,2.20202802,2.356734194,2.194106564,2.906911621,2.004504482,2.634945616,2.58618557,2.563285856,2.240952015,2.120391603,2.268138473,2.006226777,2.011075768,1.976658409,2.033487208,2.126449345,1.902526649,2.494675869,2.1696853,1.986111939,2.666850461,2.0038422,1.89782389,2.233132784,2.849943171,2.714436748,2.486310168,2.888737852,2.061176194,2.046317783,2.797076351,2.006749206,2.801795456,2.374716209,2.739528658,2.195657575,2.397558722,1.87113651
"prph2lb***",3.585550501,3.264599761,3.458832045,3.268339814,2.982257162,3.70919782,2.597470507,2.787512229,2.936334304,3.315681458,3.528035251,3.152215383,4.038176073,3.17033542,3.499564754,3.643335634,2.853789459,2.963916467,2.840413049,2.624335965,2.95386735,3.281287005,2.962397733,2.824792268,3.031473123,2.792274418,2.891912153,3.438309657,3.078335469,2.930985657,3.187784806,3.660309861,3.358959835,3.059301418,3.484033957,2.830649445,3.627988461,3.398536676,3.619091873,3.267210273,3.03890803,3.745423019,3.135209692,3.697823725,2.956363024
"rcvrna***",4.003337691,3.856670168,3.598163118,3.888807149,4.100810667,4.302775607,3.491987299,3.723423653,3.790880526,3.984465734,4.407971663,3.238319254,4.310550619,3.518035573,4.08456421,3.441193716,3.175827892,3.756611943,3.390457554,3.151981091,3.187604293,3.517251826,3.386552251,3.305490238,3.90329026,3.258849207,3.279248173,3.493912828,3.861003084,3.324056272,4.002991482,3.893390254,4.282886114,3.718747193,3.792864724,3.576726096,3.772101724,4.426578249,3.331209352,4.475715066,3.203394117,3.787596746,3.565451265,4.159809035,3.03071916
"pdcb***",4.674543076,4.326851401,4.337772665,4.283976498,4.125536306,4.702694185,4.535735459,4.93287757,5.023366808,4.781192681,4.985429754,4.395009474,4.931994561,4.320112893,4.629939122,4.512590497,3.973048907,4.292020749,3.953234805,4.52940383,4.095329299,4.638896855,4.261617026,4.330365902,4.439334868,4.314891533,4.535777639,4.316978807,4.474614233,3.960734722,4.784776452,4.106500075,4.607057475,4.513513024,4.729681658,3.952312018,4.395902444,4.60919822,4.704247145,4.891492179,4.420462056,4.487723876,4.239393726,4.84699879,3.997773876
"rgrb***",3.946889536,4.940776922,5.031220388,4.497153495,4.899153836,4.678931063,4.650165614,4.833359375,4.502529114,4.857121455,4.88342624,4.987671103,5.093241039,4.577023954,5.276974344,4.165659934,4.42421087,4.6428281,3.92843086,4.79424258,4.086212901,4.381808933,4.647643052,4.616566552,4.791475875,4.400990115,4.72045308,4.524979955,4.349491585,4.112454922,4.915307684,4.365087369,4.972319294,4.45100176,4.352671757,4.117685949,4.988025593,5.097837284,4.509724015,5.390047286,4.803001087,4.495320439,4.612116166,4.999073454,4.663634979
"PDC***",5.260440662,5.342942838,4.320872262,4.463265949,5.453074763,4.687063154,4.001421245,4.611011746,4.645439533,4.619773551,5.414724129,4.04621463,6.305775648,5.267615656,5.763447001,4.430131332,4.070848487,4.543629763,3.724972267,4.61716531,4.325968649,4.770913663,4.18798839,3.581586423,4.693602889,4.322582675,4.212942901,4.275277507,4.784290509,4.058108472,4.900802987,5.109850602,5.002205222,5.00909505,4.92397168,3.986348174,4.295240596,5.509591912,3.782204937,5.540135088,4.243759001,5.242352464,4.656563406,5.011144798,3.802743975
"prph2a***",4.559583319,5.273803334,4.806648629,4.887803,5.249108306,5.057879026,4.630059732,4.425618787,4.106332868,4.815641172,5.28161373,4.204677312,5.394258758,4.906443516,4.982438465,4.425118776,4.558065184,4.904907521,4.613690388,4.367172372,4.528956565,4.807182696,3.999511701,4.487615781,4.615037915,4.080774692,4.765399996,4.845023108,4.351794407,4.318652615,4.769239756,4.869954372,5.198304448,5.094235477,5.404713936,4.292203908,4.857715107,4.991648902,4.613167436,5.32455087,4.792252955,5.02772002,4.693752025,5.315701012,3.976649588
