"GeneID","GO_Terms","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2","pval.P1vsP2","padj.P1vsP2","pval.P1vsS","padj.P1vsS","pval.P2vsS","padj.P2vsS","GeneName"
"ENSAPEG00000000328","GO:0005216;GO:0006811;GO:0034220;GO:0016020;GO:0005886;GO:0004888;GO:0005230;GO:0016594;GO:0022824;GO:0045202;GO:0045211;GO:1902476;GO:0005254;GO:0006821;GO:0034707;GO:0042995;GO:0097060",0.265555433,0.023576736,0.010502837,0.031737628,0.34461714,0.174055227,0.250269503,0.453479934,0.206827424,-0.000781757,0.096825389,0.034126192,0.280815517,0.019150283,0.360578133,0.171174299,0.16382403,0.467099555,0.034584837,0.120770371,0.146797008,0.294053278,0.01711941,0.113510425,0.038335206,0.026341295,0.151030848,0.030674686,0.033949757,0.161465301,0.138047282,0.250039039,-0.000758956,0.300336652,0.003969975,0.049064241,0.019424932,0.206754961,0.405047756,-0.001237892,0.240043305,0.270184527,0.155381446,0.139509639,0.147431638,0.75144945,NA,0.591229412,NA,0.816173414,1,"glra3"
"ENSAPEG00000000341","GO:0007165;GO:0005576;GO:0005179",5.033687487,5.188506297,4.941386647,4.941932899,4.950365445,4.925089527,5.110256355,5.238043817,4.688703522,4.742093362,4.759526926,5.747427613,4.63482145,5.242917076,5.258027997,4.556184662,5.329515758,4.806519369,4.80914812,5.103295048,5.105716213,4.961494319,4.968405565,4.719532078,5.248050594,5.26720179,4.94316156,5.018560865,5.057262463,5.185901282,4.911706903,5.109057405,5.236558129,4.940473247,4.957104441,4.89939142,4.943205881,5.038035674,4.958733743,4.712314907,5.008682123,5.000030552,5.141660942,4.893486381,5.110260468,0.999547551,0.999829889,0.532356684,0.834674068,0.522372664,1,"adm2a"
"ENSAPEG00000001260","GO:0005216;GO:0006811;GO:0034220;GO:0016020;GO:0005886;GO:0004888;GO:0005230;GO:0045202;GO:0045211;GO:1902476;GO:0004890;GO:0005254;GO:0006821;GO:0034707;GO:0097060",-2.273907035,-2.275310341,-2.278318099,-2.273391323,-2.276128563,-2.283164562,-2.27546457,-2.280543807,-2.279849042,-2.280877666,-2.281499521,-2.272821461,-2.272336716,-2.276336197,-2.274838855,-2.271102993,-2.272166618,-2.274226664,-2.272711556,-2.278204462,-2.274586061,-2.270958,-2.276804003,-2.279204477,-2.2718066,-2.274664668,-2.273989438,-2.273643624,-2.272863697,-2.272505228,-2.275810664,-2.242082067,-2.280872509,-2.279698421,-2.279802125,-2.269145486,-2.276272803,-2.279856344,-2.278441118,-2.280980823,-2.243094474,-2.24002665,-2.273373156,-2.275606698,-2.274496814,0.923223441,NA,1,NA,0.86762511,1,"GABRR2"
"ENSAPEG00000001820","GO:0007165;GO:0005576;GO:0005179",-0.552825795,-0.556927008,-0.350304813,-0.551335538,-0.331244347,-0.483247211,-0.437372121,-0.57263454,-0.463441721,-0.573648628,-0.473314891,-0.549700427,-0.419215851,-0.559962582,-0.555541999,-0.288282576,-0.547837453,-0.430124708,-0.421362454,-0.349313549,-0.554802265,-0.544447284,-0.561355879,-0.459586862,-0.546820869,-0.212005367,-0.007923105,-0.426737479,-0.549821183,-0.420179759,-0.558403903,-0.557450501,-0.573632961,-0.462540683,-0.570384015,-0.537880954,-0.559774182,-0.463485402,-0.455026958,-0.283170451,-0.560450941,-0.425515771,-0.425172501,-0.438208551,-0.554541602,0.048375845,NA,0.052648028,NA,0.937790829,1,"tshba"
"ENSAPEG00000001866","GO:0007165;GO:0005576;GO:0005179;GO:0008083;GO:0031101;GO:0110021",2.586096118,3.074886076,2.978405469,2.852864201,3.108247895,3.065796681,2.940325885,2.907665941,3.138660366,3.277988382,2.931257467,2.868084881,3.033208043,2.914497065,3.15125724,2.91389938,2.885560285,3.230922056,3.022070396,3.246337972,3.380821426,2.648911532,3.026866171,3.112017108,2.895159524,3.031438653,2.912371306,3.128661556,3.76945294,2.616068824,2.788178577,3.069166229,3.054009959,2.876257048,3.438988608,2.878066393,3.103447545,3.185664743,2.914801799,3.050260629,3.036612169,2.596261624,2.772748757,2.866670087,2.898030237,0.305017436,0.807646495,0.299683449,0.68448715,0.997166625,1,"inhbaa"
"ENSAPEG00000002144","GO:0007165;GO:0005576;GO:0005179;GO:0007420;GO:0043010;GO:0007275;GO:0060259",-2.210675706,-2.212281772,-2.215724115,-2.210085479,-2.213218217,-2.221270833,-2.174225645,-2.218271411,-2.217476261,-2.218653509,-2.219365214,-2.209433279,-2.208878494,-2.213455852,-2.211742163,-2.207466513,-2.20868382,-2.211041517,-2.209307494,-2.215594059,-2.211452842,-2.207300571,-2.21399125,-2.216738564,-2.208271783,-2.211542808,-2.210770015,-2.210374235,-2.209481618,-2.209071355,-2.212854386,-2.212485055,-2.218647607,-2.217303877,-2.217422565,-2.205226171,-2.213383299,-2.179251977,-2.215864908,-2.180538929,-2.213643744,-2.171900015,-2.210064688,-2.212620949,-2.2113507,0.924363344,NA,0.97977959,NA,0.902546212,1,"gnrh2"
"ENSAPEG00000002812","GO:0007165;GO:0005576;GO:0005179;GO:0097746",1.171825714,0.944895259,1.27529413,1.075132564,0.936755605,0.865996285,0.829941419,0.985746847,1.391196215,1.226764945,1.139388483,1.187809691,1.088086733,1.227165802,0.949566888,0.985947877,0.85344357,1.064807965,1.083493558,1.015123488,0.836280758,1.318427446,1.460066881,1.002564354,0.979196108,1.345035299,0.840555719,1.072019701,1.081625668,0.972441937,1.045105109,0.943131656,1.068403976,0.900914206,1.247102014,0.874119947,0.935316831,0.797666635,1.104518907,0.88798067,1.133390476,0.963405999,0.963986954,1.48733708,0.952946503,0.68048767,NA,0.510850527,NA,0.271832836,1,"nppc"
"ENSAPEG00000002851","GO:0007165;GO:0005576;GO:0005179",-0.848671932,-0.973557292,-0.979904712,-0.966684454,-0.9752727,-0.895992807,-0.973879855,-0.698781179,-0.60666363,-0.619838552,-0.79510567,-0.964638342,-0.962897846,-0.861016402,-0.971881878,-0.958468116,-0.962287105,-0.969683779,-0.844298551,-0.979663205,-0.852104581,-0.957947515,-0.976695991,-0.981791059,-0.84104927,-0.971256452,-0.849087587,-0.967590352,-0.964789994,-0.843557723,-0.858332111,-0.973928802,-0.884298826,-0.878273124,-0.983064684,-0.951439612,-0.975576134,-0.879084352,-0.871811936,-0.985577381,-0.976055432,-0.96683246,-0.966619228,-0.974177417,-0.851652495,0.909109773,NA,0.167037647,NA,0.123847527,1,"gphb5"
"ENSAPEG00000003138","GO:0005216;GO:0006811;GO:0034220;GO:0016020;GO:0005886;GO:0004888;GO:0005230;GO:0016594;GO:0022824;GO:0045202;GO:0045211;GO:1902476;GO:0005254;GO:0006821;GO:0034707;GO:0042995;GO:0097060",2.079033715,1.762385513,1.985858867,2.681889463,2.032174102,1.954699305,2.046201947,1.858979958,1.87233593,2.006669425,1.918683969,2.101830327,2.287972282,2.110784908,2.145174203,1.934610919,1.808156686,1.98017957,2.104133348,1.618109189,1.876269365,2.630083435,2.017892291,1.704462003,1.69658991,2.149171833,2.0773,2.673545804,1.798109506,1.911294487,2.416765705,2.045708052,2.077739964,1.875232453,2.472034582,1.727660771,2.467356839,1.786145111,1.810461405,2.004315758,2.259348582,2.902235145,1.896741109,2.354542297,1.664132792,0.069507152,0.484055465,0.240479878,0.629414115,0.49729331,1,"glra1"
"ENSAPEG00000004286","GO:0007165;GO:0005576;GO:0005179;GO:0005975;GO:0003309;GO:0006006;GO:0009749;GO:0031667;GO:2000228;GO:2000252",3.524217621,5.728892111,3.309769386,3.459362706,3.527129316,6.211102166,3.873542069,6.083506222,3.187305634,4.318912592,5.62139252,4.52214782,6.015740612,3.589999936,4.612866375,6.294634175,3.658084451,4.710793493,3.56198456,3.525606116,3.339740613,6.247321776,5.201464772,4.33257389,4.832410728,3.420926513,6.092472708,5.419386705,3.388938101,4.361749226,5.489774612,6.332210497,4.876918737,3.408471471,5.448215564,4.560152856,3.722627182,6.921145735,5.890951146,3.491240721,3.44183777,5.047038325,4.013616617,3.3923756,3.342300144,0.935350707,0.990893644,0.712134286,0.914342665,0.649448215,1,"ins"
