"","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2"
"spp1***",2.420258642,2.564804987,2.830434841,2.772688071,2.374789743,2.375075683,2.561069071,2.761058114,2.946097019,2.631601901,2.839145381,2.442328706,2.721366703,2.828922547,2.73293243,2.91348449,3.326260518,2.823073611,3.251369265,2.833992692,2.812671057,2.992034999,3.251298426,3.203603381,3.226148682,3.008262795,2.829940994,2.517937808,3.300409261,2.717017636,2.381316328,2.293882529,2.960266277,3.184574018,3.04614287,2.516004263,2.541482818,2.839235924,2.994548886,2.27485386,2.453935439,2.522647307,2.611653649,2.783145217,2.498869483
"stac3***",2.804869003,3.446119237,2.99219197,3.401488688,3.187612474,3.252701603,3.329723892,3.76628166,3.231517542,3.244771495,2.958649139,3.080211492,3.169589197,3.180924122,3.163845409,3.350125663,3.174639274,3.312153698,3.425083218,3.613174147,3.17169317,3.354822623,3.5386588,3.353536597,3.831721711,3.758689454,3.547936347,3.560950245,3.535846171,3.549038368,3.066431244,3.004903311,3.381823827,3.666520701,3.126601978,3.264156199,3.052724812,3.505673121,3.562191844,3.37769217,3.294008452,3.062961845,3.571137294,3.140023578,3.363181278
"mstnb***",3.968802963,3.914553018,4.404912165,4.470012787,3.778262589,3.782755365,4.301700221,4.606827828,3.957580227,4.776540439,4.311701998,3.84096836,4.481115405,4.104686056,4.539141985,4.131522326,4.488901825,4.600341988,4.501392128,4.105387597,3.993274799,4.691237229,4.593370554,4.270773213,5.0567371,4.547446309,4.328824081,4.805997367,5.001559391,4.311325906,3.675706199,3.907702348,4.590227793,4.114139732,4.073740676,3.611108432,4.020221197,4.208829374,4.457518787,3.98658461,3.817701271,4.038927923,4.273700349,4.470360393,4.138533743
"smo***",4.420449013,4.595434003,4.813108569,5.211886547,5.046355032,4.691379597,4.657556947,5.119309931,5.156469297,4.827543379,4.705417724,4.510001834,4.904424782,4.830377766,4.686574275,4.930737073,4.493981351,5.191816512,5.120699715,5.262712857,4.887399314,5.066241413,5.102222731,5.20867556,4.993568301,5.047383363,5.156704231,4.474736548,5.215182207,4.928197956,4.461950902,4.58737584,5.119111072,4.952286988,5.086193521,4.668818835,4.441789553,4.965074342,5.079741064,4.800148305,4.903298828,4.851696834,4.754845353,4.808365186,4.768814875
"plod2***",5.577881797,5.441194666,5.605762779,5.684821131,5.142033116,5.165729537,5.322503738,5.904309119,5.855230202,5.540055021,5.534136859,5.101602841,5.531038897,5.525758239,5.179283351,5.307681765,5.671299422,5.731115575,6.233145458,5.580285313,5.390801324,5.555900778,5.851836805,5.702858237,5.846811027,5.724479638,5.444587484,5.368038887,5.941378533,5.912630712,5.157744647,5.064366019,5.466385997,5.816462598,5.539892583,5.244121523,5.491230312,5.596259067,5.551211037,5.490629668,5.399624699,5.56159109,5.279028859,5.507225888,5.462441679
"igfbp3***",6.073271909,5.798504936,6.043927201,6.350642436,5.979530738,5.737704068,5.986653813,6.204913866,6.20697886,6.137721462,6.011000598,5.597937705,6.012904204,5.861153078,6.066019424,5.988630762,5.968331776,6.212315525,6.243687783,5.987441312,6.218170892,6.123821316,6.312940885,6.234592603,6.551156454,6.416522444,6.278214539,6.13308952,6.19180882,5.931457553,5.679522118,5.696489425,6.176421752,6.318461413,5.984324962,6.189254459,5.926886619,5.957356162,6.061177967,6.303700074,5.944251263,5.785406532,5.865954191,5.978781159,6.286716408
"ednraa***",5.875176908,6.396421843,6.275971,6.044410132,6.268815884,5.791496022,6.194536219,6.018502342,6.385856968,6.217409233,6.218598709,5.855023738,6.438095913,6.442524481,6.105072106,6.135847219,6.254773863,6.063229062,7.23566114,6.646215157,6.643586997,6.143830854,6.265008468,5.997496619,6.164973035,6.530625276,6.028177625,6.229545234,6.342538288,6.294001672,5.862590309,6.054339729,6.169481872,6.165259215,6.397251974,6.189225664,6.415535602,6.091109534,6.279212809,5.971015473,6.235658949,6.042151816,5.958815374,6.515431027,6.032575769
"fhl1b***",6.127513539,5.919535733,6.192094965,6.484948555,6.460624105,5.829886309,6.365786618,6.654230194,6.709680615,6.488285785,6.201952216,6.121875416,6.377736618,6.304273089,6.223035712,6.419418434,6.44181483,6.582051329,6.829958864,6.630842633,6.529121601,6.638325654,6.815282305,6.587268025,6.826984903,6.801409119,6.270620358,6.421612094,6.585438773,6.381995449,6.008043294,5.801343859,6.303433963,6.542184157,6.752727388,6.391600284,6.295998948,6.295882018,6.663870989,6.221822577,6.529354981,5.927985267,6.203349763,6.369364262,6.214210509
"cav1***",6.983733285,7.164169381,7.311422308,7.212371439,7.157149311,6.66457601,7.169085114,7.468022624,7.337186833,7.071067273,7.034122511,6.783645983,7.119927895,7.022973739,6.938609579,7.129249957,7.172955417,7.139742639,7.214108181,7.359570432,7.118470224,7.358206572,7.680139302,7.567075213,7.451594007,7.15166979,6.978946194,7.33337448,7.366910628,7.512602597,7.381869095,6.986077105,7.167438729,7.08981366,7.089491206,6.969132066,7.063892325,7.244005806,7.57384745,6.877992037,7.128204273,7.011335266,7.315380358,7.221945509,7.308507325
"loxa***",6.909370707,6.790242179,7.293731291,6.967739599,7.103323243,6.6601298,7.091014531,7.609255962,7.491009184,7.48764578,7.277682384,6.770538454,6.970239524,7.083859311,6.956848344,7.496526518,7.231699874,7.428378966,7.797279427,7.108416463,7.278799535,7.584915879,7.8110638,7.327434656,7.720906845,7.606231487,7.178292173,7.433158879,7.763383629,7.438082204,6.711695283,6.910535608,7.046523378,7.331425659,6.785631287,6.784792585,6.85657779,7.19559406,7.388742265,7.095955057,7.360055377,6.993366479,7.222554207,7.169698259,7.200167258
