"GeneID","GO_Terms","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2","pval.P1vsP2","padj.P1vsP2","pval.P1vsS","padj.P1vsS","pval.P2vsS","padj.P2vsS","GeneName"
"ENSAPEG00000000269","GO:0003779",-2.273863318,-2.275038557,-2.277557491,-2.27343142,-2.275723801,-2.281616302,-2.275167721,-2.279421475,-2.222886157,-2.279701075,-2.280221866,-2.272954172,-2.272548209,-2.247920957,-2.274643698,-2.271514992,-2.272405756,-2.274131,-2.272862129,-2.277462323,-2.274431988,-2.271393564,-2.276289468,-2.278299814,-2.272104247,-2.27449782,-2.273932329,-2.273642717,-2.272989545,-2.272689334,-2.275457567,-2.27518731,-2.279696756,-2.278713482,-2.278800332,-2.269875621,-2.275844599,-2.278845739,-2.277660517,-2.279787466,-2.27603518,-2.273465941,-2.273416206,-2.27528675,-2.274357245,1,NA,0.933260364,NA,0.864732378,1,"TLNRD1"
"ENSAPEG00000000282","GO:0007165;GO:0008083",2.601592901,2.291099819,2.721201229,2.858162825,2.78198056,2.647895905,3.281942539,3.345522682,3.121173605,2.938202017,2.811346694,2.71344054,3.03366063,2.97390812,3.142327879,3.270499937,3.106954764,2.834907332,2.877082225,2.914718776,2.586089986,2.925830659,3.232507928,2.939911401,3.118478883,2.584293677,2.684731129,2.851139233,2.712403621,2.721200654,2.990616166,2.647818451,2.885772022,3.172617917,3.025712589,2.891957233,2.628467518,2.972356675,3.019960186,2.827516951,2.699195248,3.000030004,3.2505606,2.997106744,2.751869796,0.871154709,0.984205687,0.996271748,0.998878173,0.861424538,1,"fgf7"
"ENSAPEG00000000388","GO:0000166;GO:0005524;GO:0005794;GO:0003774;GO:0003779;GO:0051015;GO:0016459;GO:0005905;GO:0030136;GO:0005515;GO:0007605;GO:0005902;GO:0030175;GO:0032587;GO:0048731;GO:0035479;GO:0048844;GO:0010996;GO:0048840;GO:0060117;GO:0071599",5.047532096,4.78506801,4.943491291,4.715364516,4.715968956,5.287249015,4.619958363,4.808627275,4.970179236,4.700271744,4.622000003,4.594327963,4.865862762,4.998481412,4.837395272,4.74841278,4.807155137,4.775530471,4.477489952,4.646955589,4.987791295,4.550936989,4.422744054,4.830371044,4.639155723,4.930641045,4.786830258,4.668721693,4.933742114,4.720959578,4.351265876,4.618891186,4.937098571,5.091200749,4.972596182,5.203662427,4.928915298,4.650201028,4.577858343,4.695224417,4.785175474,4.935261742,4.608078412,4.77080321,5.067601049,0.181870461,0.694272137,0.12237771,0.476146702,0.841487008,1,"myo6a"
"ENSAPEG00000000564","GO:0000166;GO:0005524;GO:0003774;GO:0003779;GO:0016459;GO:0051015;GO:0005515;GO:0110165;GO:0048731",5.27714383,5.132155573,5.116525642,5.151374969,5.230072565,5.12417195,5.522384838,5.121636422,5.213816511,5.085206126,5.196034039,5.284547674,5.496062404,5.401721572,5.362461797,5.321456727,4.830648576,5.496686464,5.454229144,4.961900977,4.888728113,5.157760532,4.872221669,4.912233299,4.729677601,4.916030039,5.173945165,5.083480797,5.424020565,4.525747238,5.081810195,5.098080162,5.177527413,5.359074921,5.141272916,5.39496267,5.200446201,4.927157894,5.066591293,5.040957894,5.500536488,5.437378583,5.068255697,5.4784263,4.794708191,0.245248168,0.759126296,0.056442406,0.326648188,0.447678652,1,"MYO5A"
"ENSAPEG00000000615","GO:0008083",-1.893523072,-1.896361393,-1.970011524,-1.960046643,-1.898016327,-1.979813964,-1.964239986,-1.974513233,-1.973108005,-1.975188496,-1.976446258,-1.958894042,-1.957913598,-1.966002937,-1.895407769,-1.955418274,-1.95756956,-1.961736201,-1.958671749,-1.969781682,-1.962463116,-1.955125013,-1.966949119,-1.97180431,-1.956841387,-1.962622107,-1.961256389,-1.960556947,-1.958979469,-1.958254431,-1.964939994,-1.964287295,-1.975178066,-1.972803359,-1.905446461,-1.883892379,-1.965874716,-1.905556124,-1.970260341,-1.907830491,-1.966334987,-1.960130016,-1.9600099,-1.964527453,-1.962282605,0.779345559,NA,0.764716228,NA,0.987741879,1,"FGF6"
"ENSAPEG00000000670","GO:0030036;GO:0016043;GO:0003779;GO:0031267",4.910934618,4.926415323,5.116998508,5.022264858,4.858677433,4.988322596,4.647711679,4.719134086,5.055666499,4.861623594,4.672357094,4.66142318,4.64452694,4.927872692,4.835834366,4.699898392,4.527730723,5.158843109,4.810244018,4.907599745,5.067163773,4.623367489,4.741039397,4.902971731,4.498713635,4.718347815,5.262739882,5.140508724,4.991716592,5.173968791,4.728369718,4.504234082,4.943943988,4.760714152,4.958686164,5.082423027,4.610397685,4.676824389,4.941816429,4.790959125,4.784540894,5.151402106,4.937131919,4.798694422,4.758986081,0.294011141,0.801049384,0.720375558,0.918100142,0.468890624,1,"INF2"
"ENSAPEG00000000818","GO:0007165;GO:0008083",4.368045903,4.266667719,4.351340368,4.469187789,4.695292908,4.19264247,4.260030703,4.480342663,4.539952304,4.383467038,4.485062536,3.985003305,4.554898766,4.408124025,4.202487546,4.105911669,4.444651424,4.606920508,4.198313254,4.323373661,4.4881605,4.692451107,4.791906203,4.694915333,4.616433083,4.294496683,4.618155528,4.338642567,4.736541407,4.300503388,4.499710358,4.131403469,4.066903197,4.597937268,4.462113537,4.534888728,4.302915585,4.590156162,4.634670443,4.485069166,4.620742888,4.388884382,3.964520116,4.441412224,4.381406268,0.261978894,0.772564368,0.129743117,0.489114422,0.692455148,1,"fgf24"
"ENSAPEG00000000840","GO:0000166;GO:0005524;GO:0003774;GO:0003779;GO:0016459;GO:0005515;GO:0048731",1.687801306,1.768211225,1.720881856,1.988785051,1.847149863,1.794045681,1.947276349,1.845687221,1.859504022,1.912292067,2.032202352,2.000159035,2.09870725,1.752065187,1.959819153,2.034312712,2.013202041,1.972080149,2.322947069,2.044291888,2.049639965,1.939742976,2.216162638,1.94865072,1.823039506,1.873497942,2.062678719,1.794380792,1.999316735,2.178096478,1.760338398,1.666893474,1.981873095,2.076790684,2.074216519,2.072861982,1.753063272,1.859358605,2.108047269,2.045014475,1.749480413,1.584645707,1.798615034,1.856547185,1.876515565,0.074868567,0.499300026,0.047186299,0.298641491,0.845719192,1,"MYO16"
"ENSAPEG00000000849","GO:0005143;GO:0006955;GO:0008083;GO:0005576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"il12a"
"ENSAPEG00000000911","GO:0005737;GO:0005856;GO:0003779;GO:0051015;GO:0007015;GO:0030674",1.768307701,1.852159131,1.593638455,2.822959884,1.62320629,1.620831858,3.044847733,1.563075117,1.57266141,1.558455826,1.826574826,2.784176805,1.67283554,1.931011606,1.860568822,2.780534774,1.675006541,1.87144565,2.592735097,1.59518645,1.757801152,3.026106805,2.527141219,1.684798666,1.800340039,1.756580473,2.910654828,2.493172764,1.784311496,2.200131164,1.843205782,1.743743704,1.657948883,1.948298012,2.308215516,3.037323802,2.192636489,1.572560863,1.88859024,1.656199603,1.830817448,2.931803364,2.087584203,1.945631373,2.152989065,0.558148952,0.920958253,0.447128441,0.788034792,0.864583878,1,"fscn2b"
