"","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2"
"mstna***",3.204354441,2.866096577,3.066652019,3.825125514,2.99742876,2.972879016,3.016356498,3.315365556,3.387625814,3.856856664,3.1844717,3.012516,3.025542325,3.061625663,3.106433541,3.429613865,3.629640017,3.602876399,3.712279892,3.704950982,3.429654652,3.434521614,3.64064237,3.501323117,4.020945057,3.634997682,3.332018211,3.519674466,3.305089729,3.816672319,3.077345976,3.015689696,3.255764548,3.679041435,3.710497164,3.276624065,3.130381526,3.672329495,2.998779056,3.04236819,3.361165306,3.148542912,3.075961167,3.012304753,3.541335924
"fgf13b***",4.069341658,3.969006591,3.445367172,3.783143465,3.35396238,3.736261721,3.548883214,3.631284827,3.618336224,3.577493655,4.124307963,3.398166323,3.824691481,3.619521576,3.864590555,3.765838087,3.54998939,3.648223112,3.53113881,3.225515866,3.274456224,3.231658186,3.138910128,3.252151418,3.286047398,3.578069471,3.486988868,3.436766897,3.643998372,3.33866267,3.824436633,3.880299658,3.657099198,3.395694264,3.661259795,3.839889807,3.761930939,3.486231828,3.586195113,3.613678509,3.796032844,3.830382425,3.625320879,3.832851683,3.528057182
"bmp4***",3.850559117,4.235480423,3.950999574,3.870146976,3.816862309,3.750734298,4.112355911,4.223876873,4.256372509,3.805459841,4.121341449,3.891818872,3.796075518,4.114389424,4.363911101,3.77848637,4.211607161,4.523399719,4.31317427,4.209300556,3.531796299,4.391603036,4.400148345,4.398110212,4.505043142,3.768110961,4.090175822,4.148493155,4.181782694,4.008936091,4.056478113,3.565134126,4.3176788,3.725740601,3.889135246,3.709232729,4.192540541,3.847113382,4.292730447,3.914921621,3.850733568,3.868580426,4.02332405,3.933114235,4.194539706
"mstnb***",3.968802963,3.914553018,4.404912165,4.470012787,3.778262589,3.782755365,4.301700221,4.606827828,3.957580227,4.776540439,4.311701998,3.84096836,4.481115405,4.104686056,4.539141985,4.131522326,4.488901825,4.600341988,4.501392128,4.105387597,3.993274799,4.691237229,4.593370554,4.270773213,5.0567371,4.547446309,4.328824081,4.805997367,5.001559391,4.311325906,3.675706199,3.907702348,4.590227793,4.114139732,4.073740676,3.611108432,4.020221197,4.208829374,4.457518787,3.98658461,3.817701271,4.038927923,4.273700349,4.470360393,4.138533743
"TGFB3***",5.098931083,5.165179503,5.318056635,5.262088639,5.197665597,4.970428457,5.367407028,5.580857335,5.897010294,5.534936709,5.290518939,4.610554283,5.487894406,5.06222739,5.463347235,5.378701602,5.026890893,5.66843931,5.839465052,5.244953001,5.06573371,5.713941852,6.086103871,5.463204485,5.515925317,5.387734592,5.645216627,5.62664295,5.912105302,5.253245928,5.114417719,4.623413432,5.434394084,5.264007988,5.44657246,5.238728205,5.091402344,5.309979928,5.613313127,5.140401169,5.471636481,5.311073222,5.715590401,5.442585389,5.070091115
"tln1***",5.553562409,5.328564568,5.4672179,5.641342639,5.512909055,5.27375358,5.225717379,5.460877947,5.529175191,5.206056689,5.210526039,5.225523118,5.775190219,5.444258604,5.563199552,5.36743339,5.604554093,5.596186733,5.439509152,5.634784895,5.633487499,5.374754617,5.727715672,5.637934684,5.727453047,5.647510255,5.665996788,5.482658371,5.567369947,5.450216047,5.256476545,5.407380588,5.224911366,5.552411472,5.29926334,5.548784811,5.427807331,5.22063814,5.591187613,5.273277762,5.37523806,5.558208482,5.474627341,5.335878064,5.638345034
"actn2b***",5.652424322,5.172097784,5.434795031,5.699633543,5.658679327,5.372199036,5.081859118,5.829277097,6.118345807,5.763337319,5.352326387,5.086196597,5.425624016,5.381603431,5.221908011,5.722641581,5.578170277,5.984302855,5.980119313,5.365418958,5.576683035,5.443720071,6.020749447,5.96280996,5.502831714,5.649372987,5.810563283,5.586424442,5.838621445,5.858532605,5.343078128,5.108894092,5.888289625,5.75556436,5.491923682,5.421294825,5.52522867,5.298243119,5.973142835,5.56290039,5.414767702,5.209165855,5.397538064,5.482211713,5.765471813
"fmnl3***",5.579942112,5.584267224,5.46026295,5.707121493,5.540383309,5.059633046,5.594885246,5.813069047,5.728210849,5.696373673,5.407793125,4.920105482,5.211744059,5.654670379,4.675903694,5.595563102,5.734554312,5.60344217,6.107242629,5.448209819,6.193383087,5.672491207,6.003493409,5.301167239,6.07022879,5.907724648,5.655459899,5.903079874,5.930758745,5.917669945,5.304712375,5.593625013,5.631175162,5.130780351,5.591489352,5.674364432,4.963069712,5.4304407,5.921423008,5.497287945,5.628596801,5.605251733,5.688819413,5.7283841,5.588966981
"myh7ba***",5.392748681,5.247404589,5.625018789,5.739466737,5.535171992,5.285695414,5.608529491,5.320881051,5.526034121,5.602878602,5.711642409,5.58761591,5.85258807,5.701384266,5.679237035,5.72253665,5.554093324,5.74862614,5.502221023,5.549711563,5.692969645,5.730313761,5.814826868,5.652234714,5.641307089,5.742236564,6.239773933,5.899661196,5.690361077,5.979788208,5.571169962,5.569327603,5.657488212,5.681930604,5.662226881,5.849693716,5.688270853,5.427300972,5.586430648,5.417369181,5.708707898,5.718320982,5.1164721,5.375826957,5.679400359
"tgfb1a***",5.870490946,5.609387898,5.756722239,5.669640563,6.034040551,5.665823855,5.640416654,6.007269626,6.047231282,5.792551081,5.626130657,5.741351769,5.827350447,6.061491639,5.52968664,5.724613669,5.855970038,5.952231316,6.371398075,5.8353278,6.449746145,5.732245302,6.405524664,6.051797174,5.950488429,6.533558306,5.595564388,5.61361959,5.910281388,6.080273435,5.816412329,5.517675845,5.741616964,6.177562209,5.926159382,5.48206227,5.578353731,5.874635135,5.966951998,5.799251208,5.944580152,5.580271544,6.015744998,5.670733941,5.872099681
