"GeneID","GO_Terms","X1S","X10S","X11S","X13S","X14S","X15S","X2S","X20S","X21S","X23S","X26S","X3S","X5S","X6S","X7S","X1P1","X10P1","X11P1","X13P1","X14P1","X15P1","X2P1","X20P1","X21P1","X23P1","X26P1","X3P1","X5P1","X6P1","X7P1","X1P2","X10P2","X11P2","X13P2","X14P2","X15P2","X2P2","X20P2","X21P2","X23P2","X26P2","X3P2","X5P2","X6P2","X7P2","pval.P1vsP2","padj.P1vsP2","pval.P1vsS","padj.P1vsS","pval.P2vsS","padj.P2vsS","GeneName"
"ENSAPEG00000000060","GO:0046872;GO:0005634;GO:0042799;GO:0034770;GO:0040014;GO:0005694;GO:0005515;GO:0007517;GO:0034772;GO:0006338;GO:0140941;GO:0140944",4.912564636,5.172662178,5.150637762,5.271486207,5.00624667,5.240301651,5.039261908,5.204730194,5.111397403,5.254803604,5.221450169,5.198641402,5.275766242,4.942455796,4.92950588,4.870517388,4.995754898,5.073959085,5.204214125,5.571973909,5.257093547,4.877162244,5.142430989,4.951753606,5.53776686,5.253009826,5.377982782,4.987291013,5.248714829,5.317395576,5.098570771,5.038097166,5.169694855,4.972535641,5.295981859,4.960504734,5.214434277,5.223572494,5.184880401,5.033106309,4.906828679,5.085541158,5.222619751,5.083861195,5.238322353,0.294758786,0.801509786,0.343737189,0.721453835,0.906492587,1,"kmt5b"
"ENSAPEG00000000170","GO:0006355;GO:0005634;GO:0003677;GO:0046983;GO:0007517;GO:0030154",3.078189022,2.816905913,3.066085163,3.227654083,2.716254867,2.678960937,3.030881373,3.150772851,3.483096866,3.402448917,3.210241373,2.961949224,2.807860311,3.402766417,3.049877947,3.163421821,3.268045886,3.532559117,3.313243058,3.332572872,2.987315044,2.747407368,3.230089525,3.295234738,3.676838362,3.6537398,3.20794978,3.603757266,3.308047463,2.889477219,2.63948568,2.812302424,3.479265008,3.36621365,2.700587179,3.144734695,2.938447426,3.223940504,3.415032024,3.183248364,3.125466953,3.092611632,3.290658485,3.026568466,2.837982532,0.073101626,0.494499709,0.05032843,0.308377083,0.882199272,1,"myod1"
"ENSAPEG00000000202","GO:0016787;GO:0006508;GO:0008233;GO:0004190;GO:0003406;GO:0009617;GO:0061061;GO:0005764",8.016485983,8.123676838,8.027854127,7.565532153,7.783246295,7.953794643,7.79484098,7.726992453,7.930638321,7.740307892,8.121240999,8.393728301,8.151518951,7.982019026,8.188658985,8.348744999,7.999293608,7.747552572,7.990039584,7.848906839,8.353105365,7.841254222,7.788111529,7.909240563,8.136906448,7.788868301,7.756336149,7.74411953,8.049699642,8.257168254,8.099945656,8.123496893,7.64152866,7.92331082,7.450253219,8.020675728,8.262481932,8.006343284,7.681251212,8.09922317,7.908578446,8.036875477,8.287180748,7.886853406,8.268425732,0.94181017,0.992186697,0.594191617,0.865841447,0.642643069,1,"ctsd"
"ENSAPEG00000000309","GO:0005576;GO:0005509;GO:0005515;GO:0009953;GO:0030510;GO:0030903;GO:0060034",7.751554221,7.653049522,8.1538447,8.277796554,8.025883408,7.72183699,8.020328807,8.956056035,8.867461332,8.538230804,8.206910867,7.594291469,7.971398885,7.989026706,8.185704511,8.253482974,8.349138165,8.763841087,8.677198031,8.402585918,8.166492202,8.457932081,9.280932308,9.021854502,8.882067962,8.57619686,8.409928281,8.498164486,8.838838004,8.528224915,7.612621085,7.671837862,8.492922141,8.558513454,8.484489235,8.225047407,7.984552715,8.253616395,8.872215586,8.200412222,8.365819691,7.95282663,8.334522037,7.946874573,8.265565346,0.002986308,0.114764424,0.00069561,0.031212916,0.700180758,1,"fstl1b"
"ENSAPEG00000000395","GO:0016020;GO:0004867;GO:0008544;GO:0030199;GO:0030593;GO:0060429;GO:0005515;GO:0030414;GO:0002009;GO:0008283;GO:0050727",7.970699639,8.181127885,7.861577062,7.533970816,8.033345906,8.102719276,7.808691896,7.331858269,7.427659556,7.5588758,7.638138641,8.403646709,7.522203443,7.773511774,7.776580777,7.800868152,7.910136687,7.774354706,7.820152723,7.784998578,7.862402853,7.704844158,7.676617601,7.777635382,7.666795376,7.664713511,7.627076108,7.773983806,7.448684661,7.710301393,8.185488012,8.091151545,7.546805255,7.591949564,7.664094814,7.780932377,7.78180647,7.595201879,7.742669906,7.552693861,7.828222282,7.802304375,7.870832793,7.675771705,7.97239708,0.643163822,0.940459297,0.352608075,0.729822541,0.64152366,1,"spint1a"
"ENSAPEG00000000419","GO:0016020;GO:0016740;GO:0005794;GO:0008376;GO:0003007;GO:0008593;GO:0033339;GO:0050650;GO:0060041;GO:0060042;GO:0060536;GO:0060876;GO:0032580;GO:0016758",5.370641366,5.597320819,5.325642785,5.37419685,5.700827616,5.437572608,5.438595002,5.170927802,5.22611528,5.329058212,5.343342663,5.854849386,5.249609134,5.101956865,5.451715541,5.254426109,5.552154997,5.099787176,5.145426735,5.615246456,5.83358369,5.290698027,5.306623099,5.351114152,5.248172071,5.353815827,5.433467011,5.313075586,5.470881914,5.371783165,5.671090855,5.476707005,5.095651677,5.176047035,5.109791691,5.226126284,5.105124679,4.975095092,5.392033321,4.664922903,5.301523235,5.323939337,5.276880479,5.212531057,5.469957964,0.081968454,0.517928141,0.856754553,0.965910492,0.047100876,1,"chsy1"
"ENSAPEG00000000556","GO:0046872;GO:0006355;GO:0048644;GO:0055008",4.331356996,3.833740001,4.444810479,4.149766857,4.035212471,3.923557263,3.927033074,4.389988034,4.371141578,4.088633123,4.028677534,3.816207188,3.833769928,4.293181003,4.044892666,4.100731158,3.953425862,4.070110568,3.932613573,4.273569107,4.14248153,3.822043044,4.338262076,4.374707809,4.639489357,4.052062445,4.033564368,3.999289102,4.299742471,3.94049082,4.131219262,4.018214237,4.447891602,4.265625329,4.069476475,3.819210236,4.18855067,3.958986568,4.164024922,4.393938795,4.019744335,4.10290043,3.959703307,3.968191166,4.013016583,0.843128974,0.979556374,0.789559218,0.942211565,0.945353435,1,"dpf3"
"ENSAPEG00000000580","GO:0046872;GO:0005509;GO:0033275;GO:0060415;GO:0007519",13.31626043,13.2038808,13.59349393,13.21165475,12.8781296,13.0496455,13.53899715,13.44786122,13.60346624,13.40684206,13.44268439,13.2663959,13.5531507,13.3162295,13.45940557,13.66606774,13.69145035,13.65660071,13.68624662,13.09347461,13.44882341,13.83265383,13.61886933,13.60131423,13.90626326,13.67078916,13.55599489,13.74157307,14.05127596,13.36115082,12.90138053,13.07237191,13.56698836,13.40757814,13.066996,13.39067219,13.19065285,13.20125266,13.53045043,13.28966856,13.32659211,13.22472978,13.66078279,13.50761067,13.48483258,6.42e-05,0.022987075,0.000248843,0.01878331,0.6956411,1,"mylpfa"
"ENSAPEG00000000596","GO:0006355;GO:0005634;GO:0003677;GO:0006357;GO:0007389;GO:0009953;GO:0036342;GO:0042661;GO:0000981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eve1"
"ENSAPEG00000000642","GO:0005525;GO:0046872;GO:0005737;GO:0000166;GO:0000287;GO:0004019;GO:0016874;GO:0006164;GO:0006167;GO:0044208;GO:0046716;GO:0048741",6.223241919,6.94437396,7.501514997,6.717398678,6.777199299,6.449252684,7.013585961,7.042767518,6.811942453,7.081464864,7.048980356,6.93378858,7.008763535,6.923381804,7.095748092,7.015898813,6.913971643,7.139930991,6.524752751,6.851088773,6.310116706,7.135753237,6.926357562,7.134939643,7.225829381,7.142302312,7.197323886,7.293532086,7.138455847,6.779271492,6.60107774,6.892627658,7.255754487,6.820810712,6.696876209,6.576685654,6.895553482,7.169497671,6.88087465,6.851551036,7.20753699,6.90728834,7.03463442,6.877220806,6.439292916,0.288260174,0.798097298,0.40122207,0.761228233,0.810567402,1,"adss1"
