gene,inMod
ENSAPEG00000000002,0
ENSAPEG00000000004,0
ENSAPEG00000000005,0
ENSAPEG00000000006,0
ENSAPEG00000000007,0
ENSAPEG00000000009,0
ENSAPEG00000000010,0
ENSAPEG00000000011,1
ENSAPEG00000000012,0
ENSAPEG00000000014,0
ENSAPEG00000000016,0
ENSAPEG00000000017,0
ENSAPEG00000000018,0
ENSAPEG00000000019,0
ENSAPEG00000000021,0
ENSAPEG00000000022,0
ENSAPEG00000000026,0
ENSAPEG00000000028,0
ENSAPEG00000000029,0
ENSAPEG00000000032,0
ENSAPEG00000000038,0
ENSAPEG00000000041,0
ENSAPEG00000000042,0
ENSAPEG00000000044,0
ENSAPEG00000000045,0
ENSAPEG00000000046,0
ENSAPEG00000000049,0
ENSAPEG00000000050,0
ENSAPEG00000000053,0
ENSAPEG00000000054,0
ENSAPEG00000000055,0
ENSAPEG00000000056,0
ENSAPEG00000000058,0
ENSAPEG00000000059,0
ENSAPEG00000000060,0
ENSAPEG00000000061,0
ENSAPEG00000000062,0
ENSAPEG00000000063,0
ENSAPEG00000000071,0
ENSAPEG00000000072,0
ENSAPEG00000000073,0
ENSAPEG00000000075,0
ENSAPEG00000000076,0
ENSAPEG00000000079,0
ENSAPEG00000000081,0
ENSAPEG00000000082,0
ENSAPEG00000000083,0
ENSAPEG00000000084,0
ENSAPEG00000000085,0
ENSAPEG00000000086,0
ENSAPEG00000000089,0
ENSAPEG00000000091,1
ENSAPEG00000000092,0
ENSAPEG00000000093,0
ENSAPEG00000000095,0
ENSAPEG00000000096,0
ENSAPEG00000000098,0
ENSAPEG00000000099,0
ENSAPEG00000000100,0
ENSAPEG00000000101,0
ENSAPEG00000000102,0
ENSAPEG00000000103,0
ENSAPEG00000000104,0
ENSAPEG00000000105,0
ENSAPEG00000000106,0
ENSAPEG00000000108,1
ENSAPEG00000000110,0
ENSAPEG00000000112,0
ENSAPEG00000000113,0
ENSAPEG00000000115,0
ENSAPEG00000000117,0
ENSAPEG00000000118,0
ENSAPEG00000000119,0
ENSAPEG00000000120,0
ENSAPEG00000000121,0
ENSAPEG00000000122,0
ENSAPEG00000000123,0
ENSAPEG00000000126,0
ENSAPEG00000000127,0
ENSAPEG00000000128,0
ENSAPEG00000000129,0
ENSAPEG00000000130,0
ENSAPEG00000000132,0
ENSAPEG00000000136,0
ENSAPEG00000000137,0
