ensembl_gene_id	external_gene_name
ENSAPEG00000000002	""
ENSAPEG00000000003	""
ENSAPEG00000000004	""
ENSAPEG00000000005	""
ENSAPEG00000000006	ctrb.1
ENSAPEG00000000007	ctrb.3
ENSAPEG00000000008	""
ENSAPEG00000000009	trpm1a
ENSAPEG00000000010	tppp3
ENSAPEG00000000011	zdhhc1
ENSAPEG00000000012	hsd11b2
ENSAPEG00000000013	CIB2
ENSAPEG00000000014	idh3a
ENSAPEG00000000015	""
ENSAPEG00000000016	rab8b
ENSAPEG00000000017	""
ENSAPEG00000000018	""
ENSAPEG00000000019	""
ENSAPEG00000000020	""
ENSAPEG00000000021	slc9a5
ENSAPEG00000000022	FHOD1
ENSAPEG00000000023	""
ENSAPEG00000000024	cebpg
ENSAPEG00000000025	cebpa
ENSAPEG00000000026	gpatch1
ENSAPEG00000000027	""
ENSAPEG00000000028	WDR59
ENSAPEG00000000029	NOB1
ENSAPEG00000000030	cog8
ENSAPEG00000000031	katnb1
ENSAPEG00000000032	""
ENSAPEG00000000033	cog8
ENSAPEG00000000034	katnb1
ENSAPEG00000000035	KIFC3
ENSAPEG00000000036	""
ENSAPEG00000000037	""
ENSAPEG00000000038	KIFC3
ENSAPEG00000000039	""
ENSAPEG00000000040	""
ENSAPEG00000000041	""
ENSAPEG00000000042	""
ENSAPEG00000000043	""
ENSAPEG00000000044	gtf2a2
ENSAPEG00000000045	znf395a
ENSAPEG00000000046	PAQR8
ENSAPEG00000000047	""
ENSAPEG00000000048	il17a/f1
ENSAPEG00000000049	STMN4
ENSAPEG00000000050	gpn1
ENSAPEG00000000051	""
ENSAPEG00000000052	""
ENSAPEG00000000053	nqo1
ENSAPEG00000000054	GABARAPL2
ENSAPEG00000000055	KCNG4
ENSAPEG00000000056	rpl12
ENSAPEG00000000057	""
ENSAPEG00000000058	""
ENSAPEG00000000059	pole3
ENSAPEG00000000060	kmt5b
ENSAPEG00000000061	cd82a
ENSAPEG00000000062	""
ENSAPEG00000000063	tspan18a
ENSAPEG00000000064	""
ENSAPEG00000000065	il17a/f1
ENSAPEG00000000066	STMN4
ENSAPEG00000000067	gpn1
ENSAPEG00000000068	""
ENSAPEG00000000069	""
ENSAPEG00000000070	egln3
ENSAPEG00000000071	tipin
ENSAPEG00000000072	dis3l
ENSAPEG00000000073	""
ENSAPEG00000000074	""
ENSAPEG00000000075	rab11a
ENSAPEG00000000076	""
ENSAPEG00000000077	""
ENSAPEG00000000078	""
ENSAPEG00000000079	dapk2a
ENSAPEG00000000080	""
ENSAPEG00000000081	""
ENSAPEG00000000082	""
ENSAPEG00000000083	""
ENSAPEG00000000084	""
ENSAPEG00000000085	""
ENSAPEG00000000086	""
ENSAPEG00000000087	""
ENSAPEG00000000088	""
ENSAPEG00000000089	taldo1
ENSAPEG00000000090	taldo1
ENSAPEG00000000091	tspan4a
ENSAPEG00000000092	ddb1
ENSAPEG00000000093	""
ENSAPEG00000000094	TMEM138
ENSAPEG00000000095	cd151l
ENSAPEG00000000096	""
ENSAPEG00000000097	KCNA4
ENSAPEG00000000098	arl14ep
ENSAPEG00000000099	nr1h3
ENSAPEG00000000100	MADD
ENSAPEG00000000101	bbox1
ENSAPEG00000000102	fibinb
ENSAPEG00000000103	""
ENSAPEG00000000104	luzp2
ENSAPEG00000000105	""
ENSAPEG00000000106	lingo1b
ENSAPEG00000000107	""
ENSAPEG00000000108	kcnq1.1
ENSAPEG00000000109	""
ENSAPEG00000000110	trpm5
ENSAPEG00000000111	""
ENSAPEG00000000112	traf6
ENSAPEG00000000113	ttc17
ENSAPEG00000000114	MIR129-2
ENSAPEG00000000115	hsd17b12b
ENSAPEG00000000116	""
ENSAPEG00000000117	LRRC4C
ENSAPEG00000000118	apip
ENSAPEG00000000119	slc1a2a
ENSAPEG00000000120	""
ENSAPEG00000000121	slc35c1
ENSAPEG00000000122	chst1
ENSAPEG00000000123	""
ENSAPEG00000000124	""
ENSAPEG00000000125	""
ENSAPEG00000000126	MAPK8IP1
ENSAPEG00000000127	A3GALT2
ENSAPEG00000000128	lrp4
ENSAPEG00000000129	""
ENSAPEG00000000130	""
ENSAPEG00000000131	""
ENSAPEG00000000132	NELL1
ENSAPEG00000000133	""
ENSAPEG00000000134	""
ENSAPEG00000000135	""
ENSAPEG00000000136	""
ENSAPEG00000000137	""
ENSAPEG00000000138	slc6a5
ENSAPEG00000000139	prmt3
ENSAPEG00000000140	htatip2
ENSAPEG00000000141	dbx1a
ENSAPEG00000000142	NAV2
ENSAPEG00000000143	""
ENSAPEG00000000144	e2f8
ENSAPEG00000000145	csrp3
ENSAPEG00000000146	zdhhc13
ENSAPEG00000000147	""
ENSAPEG00000000148	mpped2a
ENSAPEG00000000149	""
ENSAPEG00000000150	""
ENSAPEG00000000151	NR2E3
ENSAPEG00000000152	slc22a18
ENSAPEG00000000153	HACD3
ENSAPEG00000000154	SLC24A1
ENSAPEG00000000155	dennd4a
ENSAPEG00000000156	socs4
ENSAPEG00000000157	wdhd1
ENSAPEG00000000158	gch1
ENSAPEG00000000159	SAMD4A
ENSAPEG00000000160	ero1a
ENSAPEG00000000161	pacsin3
ENSAPEG00000000162	""
ENSAPEG00000000163	glg1b
ENSAPEG00000000164	atp6v0d1
ENSAPEG00000000165	foxr1
ENSAPEG00000000166	""
ENSAPEG00000000167	""
ENSAPEG00000000168	""
ENSAPEG00000000169	TNNT3
ENSAPEG00000000170	myod1
ENSAPEG00000000171	OTOG
ENSAPEG00000000172	U6
ENSAPEG00000000173	aph1b
ENSAPEG00000000174	tnni2b.1
ENSAPEG00000000175	""
ENSAPEG00000000176	""
ENSAPEG00000000177	c1qtnf4
ENSAPEG00000000178	ndufs3
ENSAPEG00000000179	ptpmt1
ENSAPEG00000000180	prc1b
ENSAPEG00000000181	vps33b
ENSAPEG00000000182	hddc3
ENSAPEG00000000183	mfap1
ENSAPEG00000000184	hypk
ENSAPEG00000000185	SERINC4
ENSAPEG00000000186	""
ENSAPEG00000000187	5S_rRNA
ENSAPEG00000000188	""
ENSAPEG00000000189	""
ENSAPEG00000000190	iqgap1
ENSAPEG00000000191	cartl
ENSAPEG00000000192	""
ENSAPEG00000000193	cdkn2aip
ENSAPEG00000000194	tubgcp4
ENSAPEG00000000195	tp53bp1
ENSAPEG00000000196	MAP1A
ENSAPEG00000000197	PPIP5K1
ENSAPEG00000000198	""
ENSAPEG00000000199	""
ENSAPEG00000000200	""
ENSAPEG00000000201	""
ENSAPEG00000000202	ctsd
ENSAPEG00000000203	drd4b
ENSAPEG00000000204	sirt3
ENSAPEG00000000205	""
ENSAPEG00000000206	psmd13
ENSAPEG00000000207	""
ENSAPEG00000000208	ZNF319
ENSAPEG00000000209	csnk2a2a
ENSAPEG00000000210	MATCAP1
ENSAPEG00000000211	""
ENSAPEG00000000212	zgc:194679
ENSAPEG00000000213	""
ENSAPEG00000000214	large2
ENSAPEG00000000215	U5
ENSAPEG00000000216	""
ENSAPEG00000000217	ABCC12
ENSAPEG00000000218	""
ENSAPEG00000000219	""
ENSAPEG00000000220	""
ENSAPEG00000000221	ABTB2
ENSAPEG00000000222	BRSK2
ENSAPEG00000000223	""
ENSAPEG00000000224	""
ENSAPEG00000000225	rassf7b
ENSAPEG00000000226	""
ENSAPEG00000000227	""
ENSAPEG00000000228	""
ENSAPEG00000000229	""
ENSAPEG00000000230	""
ENSAPEG00000000231	guca1g
ENSAPEG00000000232	""
ENSAPEG00000000233	""
ENSAPEG00000000234	""
ENSAPEG00000000235	""
ENSAPEG00000000236	""
ENSAPEG00000000237	""
ENSAPEG00000000238	CTTN
ENSAPEG00000000239	ppfia1
ENSAPEG00000000240	""
ENSAPEG00000000241	""
ENSAPEG00000000242	""
ENSAPEG00000000243	shcbp1
ENSAPEG00000000244	""
ENSAPEG00000000245	ANO9
ENSAPEG00000000246	PDCD7
ENSAPEG00000000247	""
ENSAPEG00000000248	KBTBD13
ENSAPEG00000000249	zgc:92818
ENSAPEG00000000250	vps35
ENSAPEG00000000251	tollip
ENSAPEG00000000252	""
ENSAPEG00000000253	""
ENSAPEG00000000254	""
ENSAPEG00000000255	""
ENSAPEG00000000256	""
ENSAPEG00000000257	snrpa1
ENSAPEG00000000258	selenos
ENSAPEG00000000259	""
ENSAPEG00000000260	""
ENSAPEG00000000261	""
ENSAPEG00000000262	EFL1
ENSAPEG00000000263	mex3b
ENSAPEG00000000264	ppib
ENSAPEG00000000265	TMC3
ENSAPEG00000000266	STARD5
ENSAPEG00000000267	""
ENSAPEG00000000268	""
ENSAPEG00000000269	TLNRD1
ENSAPEG00000000270	mesd
ENSAPEG00000000271	CEMIP
ENSAPEG00000000272	abhd17c
ENSAPEG00000000273	""
ENSAPEG00000000274	arnt2
ENSAPEG00000000275	""
ENSAPEG00000000276	fah
ENSAPEG00000000277	mthfs
ENSAPEG00000000278	MINAR1
ENSAPEG00000000279	ADAMTS17
ENSAPEG00000000280	CERS3
ENSAPEG00000000281	""
ENSAPEG00000000282	fgf7
ENSAPEG00000000283	asb7
ENSAPEG00000000284	dtwd1
ENSAPEG00000000285	""
ENSAPEG00000000286	aldh1a3
ENSAPEG00000000288	LRRK1
ENSAPEG00000000289	spata5l1
ENSAPEG00000000290	zgc:153317
ENSAPEG00000000291	pepd
ENSAPEG00000000293	SLC4A5
ENSAPEG00000000294	ELMO3
ENSAPEG00000000295	LRRC8C
ENSAPEG00000000296	usb1
ENSAPEG00000000298	ctdspl2a
ENSAPEG00000000301	ubap2b
ENSAPEG00000000302	""
ENSAPEG00000000321	""
ENSAPEG00000000328	glra3
ENSAPEG00000000339	kyat3.2
ENSAPEG00000000342	slc30a4
ENSAPEG00000000344	ZNF319
ENSAPEG00000000350	""
ENSAPEG00000000358	""
ENSAPEG00000000363	pcsk5b
ENSAPEG00000000367	""
ENSAPEG00000000384	bloc1s6
ENSAPEG00000000389	rfk
ENSAPEG00000000402	UNC13C
ENSAPEG00000000403	mibp2
ENSAPEG00000000408	""
ENSAPEG00000000410	parp16
ENSAPEG00000000419	chsy1
ENSAPEG00000000423	fa2h
ENSAPEG00000000425	""
ENSAPEG00000000429	lmo4b
ENSAPEG00000000434	zgc:110329
ENSAPEG00000000437	""
ENSAPEG00000000438	""
ENSAPEG00000000440	""
ENSAPEG00000000444	DNAJA2
ENSAPEG00000000447	HS2ST1
ENSAPEG00000000448	mfge8a
ENSAPEG00000000449	abhd2a
ENSAPEG00000000452	""
ENSAPEG00000000456	TACR1
ENSAPEG00000000458	""
ENSAPEG00000000462	ano10b
ENSAPEG00000000463	GPM6A
ENSAPEG00000000474	scamp5a
ENSAPEG00000000482	CLDN18
ENSAPEG00000000484	""
ENSAPEG00000000485	e2f4
ENSAPEG00000000487	""
ENSAPEG00000000488	SOX14
ENSAPEG00000000494	""
ENSAPEG00000000497	slc39a1
ENSAPEG00000000499	lrp3
ENSAPEG00000000507	septin9b
ENSAPEG00000000509	ube2q2
ENSAPEG00000000519	""
ENSAPEG00000000520	""
ENSAPEG00000000522	hdlbpa
ENSAPEG00000000523	tmem208
ENSAPEG00000000529	zgc:154077
ENSAPEG00000000530	GPANK1
