experimental_start_date,experimental_end_date,hatching_date,parental_tank_ID,clutch_ID,fish_age,fish_ID,replicate_ID,housing_tank_ID,initial_length1,initial_length2,initial_length3,initial_length_avg,final_length1,final_length2,final_length3,final_length_avg,fish_type1,fish_type2,growth,initial_size_ratio,final_size_ratio
11/07/2022,18/08/2022,06/11/2022,B14,L3,31,L3_5,1,D33,10.07,10.01,10.06,10.04,16.467,16.425,16.402,16.43,P,P1,6.39,1,0.66
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_4 ,1,D33,10.06,10,10.03,10.03,10.79,10.848,10.84,10.83,P,P2,0.8,NA,0.66
11/07/2022,18/08/2022,06/11/2022,C33,L6,31,L6_1,1,D21,8.83,8.8,8.75,8.79,12.638,12.621,12.621,12.63,S,S,3.84,NA,NA
11/07/2022,18/08/2022,06/11/2022,B14,L3,31,L3_10,2,C34,10.87,10.88,10.8,10.85,14.621,14.67,14.793,14.69,P,P1,3.85,0.94,0.91
11/07/2022,18/08/2022,06/11/2022,C33,L6,31,L6_8,2,C34,10.22,10.19,10.23,10.21,13.317,13.308,13.328,13.32,P,P2,3.11,NA,0.91
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_2,2,C15,10.2,10.09,10.15,10.15,12.884,12.869,12.853,12.87,S,S,2.72,NA,NA
11/07/2022,18/08/2022,06/11/2022,C33,L6,31,L6_10,3,D23,10.58,10.51,10.58,10.56,17.05,17.044,16.894,17,P,P1,6.44,0.97,0.67
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_3,3,D23,10.22,10.29,10.32,10.28,11.477,11.545,11.397,11.47,P,P2,1.2,NA,0.67
11/07/2022,18/08/2022,06/11/2022,B14,L3,31,L3_1,3,D12,11.8,11.81,11.85,11.82,13.19,13.216,13.266,13.22,S,S,1.41,NA,NA
11/07/2022,18/08/2022,06/11/2022,C33,L6,31,L6_2_1,5,A31,13.12,12.95,12.11,12.73,19.164,19.334,19.357,19.29,P,P1,6.56,0.88,0.72
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_9,5,A31,11.2,11.12,11.21,11.18,13.889,13.836,13.899,13.87,P,P2,2.7,NA,0.72
11/07/2022,18/08/2022,06/11/2022,B14,L3,31,L3_2,5,A33,12.21,12.31,12.38,12.3,14.573,14.545,14.534,14.55,S,S,2.25,NA,NA
11/07/2022,18/08/2022,06/11/2022,B14,L3,31,L3_9,6,B25,12.27,12.14,12.21,12.2,17.276,17.384,17.452,17.37,P,P1,5.17,0.93,0.75
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_5,6,B25,11.51,11.27,11.33,11.37,13.114,13.129,13.043,13.1,P,P2,1.73,NA,0.75
11/07/2022,18/08/2022,06/11/2022,C33,L6,31,L6_7,6,B13,12.19,12.22,12.22,12.21,14.716,14.696,14.696,14.7,S,S,2.49,NA,NA
11/07/2022,18/08/2022,06/11/2022,A25,L2,31,L2_7,7,C31,12.95,12.75,12.85,12.85,21.144,21.27,21.057,21.16,P,P1,8.31,0.99,0.93
